,Skeleton_Metabolite,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,detections,S07147,S07148,S07149,S07150,S07151,S07152,S07153,S07154,S07155,S07156,S07157,S07158,S07159,S07160,S07161,S07162,S07163,S07164,S07165,S07166,S07167,S07168,S07169,S07170,S07171,S07172,S07173,S07174,S07175,S07176,S07177,S07178,S07179,S07180,S07181,S07182,S07183,S07184,S07185,S07186,SQ425_B_0,SQ425_B_1,SQ425_B_2,SQ425_B_3,SQ425_B_4,SQ425_B_5,SQ425_B_6,SQ425_B_7
26,PC 34:1; [M+HCOO]-; GPCho(16:1(7Z)/18:0),27         PC 34:1; [M+HCOO]-; GPCho(16:1(7Z)/18:0),804.5753,,13.6,14.1,15,1.0,804.5753,804.5646,-13.3,S07164,13.86,13.84,14.09,0.24,48,6571,6884,7810,5036,10986,6700,7885.0,6047,5743,5417,7973,5253,6046,6781,10531,8494.0,35802,141467,7177.0,7373,7187,9110,19701,5422.0,10071,21484,8660,8366,6743,6132,9689,7410,5814,6415,2698.0,8744.0,4684,12158,7534,6797,8266,5529,8249,6450,8297,6200,6742,8615
27,PC 34:1; [M+HCOO]-; GPCho(17:0/17:1(9Z)),28         PC 34:1; [M+HCOO]-; GPCho(17:0/17:1(9Z)),804.5751,,13.6,14.1,15,1.0,804.5751,804.5646,-13.1,S07164,13.86,13.84,14.08,0.24,48,6571,6884,7810,5036,10986,6700,6649.0,6047,5743,5306,5353,5253,6046,6781,10531,8494.0,35802,141467,7177.0,7373,7187,9110,19701,5422.0,10071,21484,8660,7546,6743,6132,9689,7410,5814,6415,2698.0,8744.0,13587,7604,7534,6797,6308,5529,8249,6450,8297,4676,6742,4946
28,PC 34:1; [M+HCOO]-; GPCho(8:0/26:1(5Z)),29         PC 34:1; [M+HCOO]-; GPCho(8:0/26:1(5Z)),804.5768,,13.6,14.1,15,1.0,804.5768,804.5647,-15.0,S07163,13.88,13.88,14.07,0.19,48,6571,5447,7810,5036,10986,6700,6649.0,6047,5743,5306,5353,5253,5505,6781,10531,8494.0,35802,3693,7177.0,6146,7187,5494,12793,5422.0,10071,6024,8660,7546,6743,6132,9689,7410,5814,5576,2598.0,5202.0,4684,7464,7534,6015,6308,5529,8249,6450,8297,4676,6742,4946
29,PC 34:2; [M+HCOO]-; GPCho(17:1(9Z)/17:1(9Z)),30         PC 34:2; [M+HCOO]-; GPCho(17:1(9Z)/17:1(9Z)),802.5593,,12.3,12.8,15,1.0,802.5593,802.5515,-9.7,S07172,12.5,12.39,12.72,0.33,7,0,0,0,827,0,0,0.0,0,0,0,664,0,720,0,0,0.0,5430,0,0.0,0,0,0,0,0.0,0,7718,0,0,1132,0,895,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
30,PC 34:2; [M-Ac-H]-; GPCho(16:1(7Z)/18:1(11E)),31         PC 34:2; [M-Ac-H]-; GPCho(16:1(7Z)/18:1(11E)),816.5751,,12.2,12.7,15,1.0,816.5751,816.5873,14.9,S07169,12.64,12.18,12.64,0.45,6,0,0,726,0,0,0,0.0,0,0,0,0,859,0,0,0,0.0,0,0,0.0,0,0,0,14431,0.0,0,0,0,0,0,0,0,0,0,0,0.0,827.0,0,0,0,0,0,0,0,0,623,675,0,0
31,"PC 35:2; [M-Ac-H]-; GPCho(9:0/26:2(5E,9Z))","32         PC 35:2; [M-Ac-H]-; GPCho(9:0/26:2(5E,9Z))",830.5906,,13.3,13.8,15,1.0,830.5906,830.5784,-14.7,S07164,13.72,13.72,13.73,0.01,2,0,0,0,0,0,0,0.0,1789,0,0,0,0,0,0,0,0.0,0,3423,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
32,PC 36:1; [M+HCOO]-; GPCho(10:0/26:1(5Z)),33         PC 36:1; [M+HCOO]-; GPCho(10:0/26:1(5Z)),832.6067,,14.3,14.8,15,1.0,832.6067,832.5985,-9.8,S07153,14.75,14.37,14.84,0.47,48,4977,6847,5400,4373,5463,6024,9871.0,3779,4514,4632,4801,5540,4891,4069,4072,6543.0,8248,4485,5214.0,4584,5338,3849,7342,4941.0,4573,4735,3818,4994,4921,5996,6059,5110,5214,5180,4618.0,5163.0,4636,4700,4592,5628,6192,4914,4685,5661,4729,5146,4387,5184
33,PC 36:1; [M+HCOO]-; GPCho(17:1(9Z)/19:0),34         PC 36:1; [M+HCOO]-; GPCho(17:1(9Z)/19:0),832.6065,,14.4,14.9,15,1.0,832.6065,832.5985,-9.6,S07153,14.75,14.37,14.86,0.49,48,4977,6847,5400,4373,5463,6024,9871.0,4582,4514,4632,4801,5540,4891,4069,4072,6543.0,8248,4485,5214.0,4584,5338,3849,7342,4941.0,4573,4735,3818,4994,5908,5996,6059,5110,5214,5180,4618.0,5163.0,4636,4700,4592,5628,6192,4914,4685,5661,4729,5146,4387,5184
34,PC 36:1; [M-Ac-H]-; GPCho(10:0/26:1(5Z)),35         PC 36:1; [M-Ac-H]-; GPCho(10:0/26:1(5Z)),846.6215,,14.3,14.8,15,1.0,846.6215,846.6326,13.1,S07154,14.7,14.38,14.84,0.45,48,5336,3654,9302,13791,22527,18708,4300.0,25454,5576,5056,14381,6850,8869,4418,16760,4032.0,3767,6422,4392.0,7398,3327,3889,3953,3258.0,3904,5434,4687,3759,3536,3513,18203,9241,14070,4440,3843.0,3992.0,4718,4591,3210,4217,3768,4328,3133,3528,3783,3511,4451,4194
35,PC 36:1; [M-Ac-H]-; GPCho(12:0/24:1(15Z)),36         PC 36:1; [M-Ac-H]-; GPCho(12:0/24:1(15Z)),846.6224,,14.4,14.9,15,1.0,846.6224,846.635,14.9,S07168,14.7,14.38,14.88,0.5,48,6622,3654,9302,13791,22527,18708,4300.0,25454,5576,5056,14381,6850,8869,4418,16760,4032.0,3767,6422,5715.0,7398,3327,44650,12712,3258.0,27797,5434,21481,10226,5368,3513,18203,9241,14070,4440,5920.0,3992.0,4718,4591,3210,4217,3950,4328,3133,3528,3783,3511,4451,4194
