Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S03916	S03917	S03918	S03919	S03920	SQ290_B_0	SQ290_B_1	SQ290_B_2	SQ290_B_3	SQ290_B_4	SQ290_B_5
Carbamoyl phosphate	CH4NO5P	[M-H]-	22.6	24.6	10	0.2	139.9754	139.9745	-6.6	S03919	24.46	24.44	24.59	0.14	11	3523236	4433676	4605363	5155793	800471	19559	22464	31990	33035	33919	25585
Carnosine	C9H14N4O3	[M+H]+	10.6	12.6	10	0.2	227.1139	227.1141	1	SQ290_B_0	11.61	11.61	11.61	0	1	0	0	0	0	0	1139	0	0	0	0	0
CDP	C9H15N3O11P2	[M+H]+	13	15	10	0.2	404.0255	404.0263	2	S03918	13.03	13.03	13.07	0.04	4	1229	1554	1941	0	1923	0	0	0	0	0	0
Choline	C5H13NO	[Cat]+	12.1	14.1	10	0.2	104.107	104.1072	2.4	S03920	13.64	13.56	13.69	0.13	11	5956356	6650018	9666841	10522846	15094939	41984	39787	46379	42459	31978	35802
cis-Aconitic acid	C6H6O6	[M-H]-	14.1	16.1	10	0.2	173.0092	173.0087	-2.9	S03917	15	14.9	15.09	0.18	11	40339	47058	34076	39148	8316	4000	3508	3846	3380	3645	3670
Citric acid	C6H8O7	[M-H]-	14.2	16.2	10	0.2	191.0197	191.0191	-3.1	S03919	15.18	15.12	15.18	0.06	11	617443	816861	578262	1121281	37861	80409	124813	63964	48354	79295	40829
Citrulline	C6H13N3O3	[M+H]+	10.9	12.9	10	0.2	176.103	176.1028	-0.7	S03917	12.03	12.01	12.13	0.12	11	248622	529563	262998	116088	113782	165493	147336	131667	165323	156496	166048
Creatine	C4H9N3O2	[M+H]+	10	11.5	10	0.2	132.0768	132.0754	-9.9	S03918	10.69	10.69	10.9	0.21	11	9379927	10367272	12963152	12769941	12100963	615245	560913	601931	632006	591801	531843
Creatinine	C4H7N3O	[M+H]+	5.2	7.2	10	0.2	114.0662	114.0664	2.2	S03918	6.73	6.49	6.89	0.4	11	22988	34125	236075	26192	38969	11599	7955	10006	8143	11779	9905
Cyclic AMP	C10H12N5O6P	[M-H]-	5.8	7.8	10	0.2	328.0452	328.0462	3	S03916	7.71	7.51	7.71	0.2	4	1818	1681	0	1211	1116	0	0	0	0	0	0
Cytidine	C9H13N3O5	[M+H]+	7.1	9.1	10	0.2	244.0928	244.0921	-2.8	S03918	8.94	8.78	9.04	0.26	3	0	0	9131	0	0	1515	0	0	1089	0	0
Cytidine monophosphate	C9H14N3O8P	[M+H]+	11.8	13.8	10	0.2	324.0591	324.0575	-5.1	SQ290_B_0	12.35	12.14	12.35	0.21	4	0	0	3443	0	1280	4944	1193	0	0	0	0
Cytidine triphosphate	C9H16N3O14P3	[M-H]-	15	20	10	0.2	481.9772	481.973	-8.8	S03918	18.9	18.9	18.9	0	1	0	0	1056	0	0	0	0	0	0	0	0
Cytosine	C4H5N3O	[M+H]+	9	11	10	0.2	112.0505	112.0505	0	S03917	9.11	9.03	9.31	0.27	11	50279	67034	40020	56827	16661	7150	6634	8366	6428	11061	7290
D-2-Hydroxyglutaric acid	C5H8O5	[M-H]-	11.6	13.6	10	0.2	147.0299	147.0289	-6.7	S03919	12.36	12.27	12.4	0.13	11	3700159	4802543	4487264	5637866	437035	27789	20236	18219	22199	22153	14835
D-Glucose	C6H12O6	[M-H]-	9	11	10	0.2	179.0561	179.0556	-2.8	S03918	9.98	9.84	10.08	0.25	11	35330	46725	52090	48447	13171	6473	4329	3770	5388	5530	2254
D-Glyceraldehyde 3-phosphate	C3H7O6P	[M-H]-	13	14	10	0.2	168.9907	168.9922	8.7	S03916	13.36	13.36	13.36	0	1	1308	0	0	0	0	0	0	0	0	0	0
Dihydrofolic acid	C19H21N7O6	[M+H]+	0	30	10	0.2	444.1626	444.1614	-2.8	S03916	10.01	9.97	10.01	0.05	2	1581	0	1092	0	0	0	0	0	0	0	0
Dihydroxyacetone phosphate	C3H7O6P	[M-H]-	12	13	10	0.2	168.9907	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D-Ribose 5-phosphate	C5H11O8P	[M-H]-	12.4	13.8	10	0.2	229.0119	229.0112	-3	SQ290_B_0	13.47	13.47	13.47	0	1	0	0	0	0	0	977	0	0	0	0	0
D-Sedoheptulose 7-phosphate	C7H15O10P	[M-H]-	12.2	14.2	10	0.2	289.033	289.0307	-8.1	S03916	12.91	12.91	12.91	0	1	917	0	0	0	0	0	0	0	0	0	0
dTDP	C10H16N2O11P2	[M-H]-	11	13	10	0.2	401.0157	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD	C27H33N9O15P2	[M+H]+	7.6	9.6	10	0.2	786.1644	786.168	4.5	SQ290_B_3	8.25	8.25	8.25	0	1	0	0	0	0	0	0	0	0	1196	0	0
Folic acid	C19H19N7O6	[M+H]+	2	4	10	0.2	442.147	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fructose 1,6-bisphosphate"	C6H14O12P2	[M-H]-	14.1	16.1	10	0.2	338.9888	338.9921	9.9	S03917	16.05	16.05	16.05	0	1	0	1255	0	0	0	0	0	0	0	0	0
Fructose 6-phosphate	C6H13O9P	[M-H]-	12.6	13.5	10	0.2	259.0224	259.0217	-2.8	S03917	13.02	12.89	13.06	0.17	3	0	2347	0	0	864	0	1185	0	0	0	0
Fumaric acid	C4H4O4	[M-H]-	12.2	14.2	10	0.2	115.0037	115.0025	-9.9	S03917	13.23	13.04	13.45	0.4	11	463726	1360448	634270	879088	28579	11014	8462	10572	8594	13238	7926
Glucose 6-phosphate	C6H13O9P	[M-H]-	13.6	14.4	10	0.2	259.0224	259.0215	-3.5	S03919	13.73	13.67	13.95	0.27	9	14991	15993	17451	20927	1756	1134	0	956	0	1624	977
Glutathione	C10H17N3O6S	[M+H]+	10	13	10	0.2	308.0911	308.0896	-4.7	S03919	11.48	11.37	11.58	0.21	7	183977	215289	181940	414877	140194	0	0	2783	0	9261	0
Glycerol 3-phosphate	C3H9O6P	[M-H]-	11.5	13	10	0.2	171.0064	171.0062	-1.2	S03920	11.99	11.99	12.07	0.08	10	8132	11145	14271	12878	31190	6206	1780	1551	0	1024	1202
Glycine	C2H5NO2	[M+H]+	10.7	12.7	20	0.2	76.0393	76.0399	7.3	S03919	11.85	11.85	11.92	0.08	11	7848268	9866595	8965378	11604595	5285274	49185	38277	66806	43597	99587	42136
Guanidoacetic acid	C3H7N3O2	[M+H]+	10.7	12.7	10	0.2	118.0611	118.0613	1.6	S03920	11.93	11.82	12	0.18	8	6944	0	0	0	8992	5258	1661	1860	2177	4191	2101
Guanine	C5H5N5O	[M+H]+	7.7	9.7	10	0.2	152.0567	152.0567	-0.2	S03920	8.57	8.5	8.63	0.14	11	87684	51624	96323	91015	99572	36966	5501	2410	1712	2013	1769
Guanosine	C10H13N5O5	[M+H]+	7.7	9.7	10	0.2	284.0989	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
