,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,np_vs_p_ttest_pval,np_vs_p_Log2FoldChange,np_vs_p_impact_score,p_vs_np_ttest_pval,p_vs_np_Log2FoldChange,p_vs_np_impact_score
157,Cyclic AMP-13C-9,C10H12N5O6P-13C-9,-,337.0754,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
158,Cyclic AMP-13C-10,C10H12N5O6P-13C-10,-,338.0788,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
159,Orotidylic acid-13C-0,C10H13N2O11P-13C-0,+,369.033,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
160,Orotidylic acid-13C-1,C10H13N2O11P-13C-1,+,370.0363,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
161,Orotidylic acid-13C-2,C10H13N2O11P-13C-2,+,371.0397,8.1,11.52,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
162,Orotidylic acid-13C-3,C10H13N2O11P-13C-3,+,372.043,-3.6,11.44,0.15,2,-,-,-,-,-,15871,-,-,-,27042,0.38650343641520735,-0.37734361488206797,0.0,0.38650343641520735,0.37734361488206797,0.0
163,Orotidylic acid-13C-4,C10H13N2O11P-13C-4,+,373.0464,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
164,Orotidylic acid-13C-5,C10H13N2O11P-13C-5,+,374.0497,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
165,Orotidylic acid-13C-6,C10H13N2O11P-13C-6,+,375.0531,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
166,Orotidylic acid-13C-7,C10H13N2O11P-13C-7,+,376.0565,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
167,Orotidylic acid-13C-8,C10H13N2O11P-13C-8,+,377.0598,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
168,Orotidylic acid-13C-9,C10H13N2O11P-13C-9,+,378.0632,-6.0,11.22,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
169,Orotidylic acid-13C-10,C10H13N2O11P-13C-10,+,379.0665,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
170,Inosinic acid-13C-0,C10H13N4O8P-13C-0,+,349.0544,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
171,Inosinic acid-13C-1,C10H13N4O8P-13C-1,+,350.0577,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
172,Inosinic acid-13C-2,C10H13N4O8P-13C-2,+,351.0611,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
173,Inosinic acid-13C-3,C10H13N4O8P-13C-3,+,352.0644,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
174,Inosinic acid-13C-4,C10H13N4O8P-13C-4,+,353.0678,8.2,11.57,0.0,1,-,-,-,-,16491,-,-,-,-,-,0.4468133341149083,0.14819657471851905,0.0,0.4468133341149083,-0.1481965747185192,0.0
175,Inosinic acid-13C-5,C10H13N4O8P-13C-5,+,354.0712,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
176,Inosinic acid-13C-6,C10H13N4O8P-13C-6,+,355.0745,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
177,Inosinic acid-13C-7,C10H13N4O8P-13C-7,+,356.0779,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
178,Inosinic acid-13C-8,C10H13N4O8P-13C-8,+,357.0812,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
179,Inosinic acid-13C-9,C10H13N4O8P-13C-9,+,358.0846,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
180,Inosinic acid-13C-10,C10H13N4O8P-13C-10,+,359.0879,0.2,11.53,0.1,10,74825,35086,34521,62664,55330,77632,32242,36782,36386,29875,0.04576484700444016,0.7448164450239567,2.0,0.04576484700444016,-0.7448164450239568,2.0
181,Xanthylic acid-13C-0,C10H13N4O9P-13C-0,-,363.0347,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
182,Xanthylic acid-13C-1,C10H13N4O9P-13C-1,-,364.0381,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
183,Xanthylic acid-13C-2,C10H13N4O9P-13C-2,-,365.0414,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
184,Xanthylic acid-13C-3,C10H13N4O9P-13C-3,-,366.0448,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
185,Xanthylic acid-13C-4,C10H13N4O9P-13C-4,-,367.0482,-6.2,11.8,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
186,Xanthylic acid-13C-5,C10H13N4O9P-13C-5,-,368.0515,7.3,11.59,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
187,Xanthylic acid-13C-6,C10H13N4O9P-13C-6,-,369.0549,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
188,Xanthylic acid-13C-7,C10H13N4O9P-13C-7,-,370.0582,5.3,12.03,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
189,Xanthylic acid-13C-8,C10H13N4O9P-13C-8,-,371.0616,0.6,12.02,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
190,Xanthylic acid-13C-9,C10H13N4O9P-13C-9,-,372.0649,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
191,Xanthylic acid-13C-10,C10H13N4O9P-13C-10,-,373.0683,-5.9,11.74,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
192,Adenosine-13C-0,C10H13N5O4-13C-0,+,268.104,-6.8,5.96,0.19,1,-,-,-,-,-,-,110310,-,-,-,0.24150397191306,-0.06702751664380792,0.0,0.24150397191306,0.06702751664380797,0.0
193,Adenosine-13C-1,C10H13N5O4-13C-1,+,269.1074,-6.3,5.93,0.1,1,-,11678,-,-,-,-,-,-,-,-,0.4468133341149148,0.005507840351665389,0.0,0.4468133341149148,-0.005507840351665448,0.0
194,Adenosine-13C-2,C10H13N5O4-13C-2,+,270.1107,-1.3,6.01,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
195,Adenosine-13C-3,C10H13N5O4-13C-3,+,271.1141,-7.4,5.96,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
196,Adenosine-13C-4,C10H13N5O4-13C-4,+,272.1174,-3.1,5.96,0.13,4,-,22146,-,-,11544,10807,22612,-,-,-,0.8383970803851262,-0.08317206534661635,0.0,0.8383970803851262,0.08317206534661647,0.0
197,Adenosine-13C-5,C10H13N5O4-13C-5,+,273.1208,-5.1,5.93,0.19,10,98532,1114076,129847,373535,164994,307006,847894,143242,252572,103942,0.9101805656133044,0.11419778283363365,0.0,0.9101805656133044,-0.11419778283363373,0.0
198,Adenosine-13C-6,C10H13N5O4-13C-6,+,274.1242,-5.0,5.93,0.19,10,65029,891193,119365,322133,140794,263211,739374,157139,155576,75790,0.9283320826892026,0.09080402426175264,0.0,0.9283320826892026,-0.09080402426175264,0.0
199,Adenosine-13C-7,C10H13N5O4-13C-7,+,275.1275,-5.1,5.96,0.15,10,33944,394625,63895,147995,92357,146922,553717,119128,80389,42444,0.6618998247464469,-0.4400732805141897,0.0,0.6618998247464469,0.4400732805141898,0.0
200,Adenosine-13C-8,C10H13N5O4-13C-8,+,276.1309,-5.0,5.96,0.19,9,-,160133,31816,84211,40698,81661,380749,55526,30646,26388,0.4764053215461586,-0.8449883687107688,0.0,0.4764053215461586,0.8449883687107687,0.0
201,Adenosine-13C-9,C10H13N5O4-13C-9,+,277.1342,-7.3,5.96,0.15,7,-,38531,12782,22927,14723,25561,94296,-,16373,-,0.4859080418967329,-0.6684920163686694,0.0,0.4859080418967329,0.6684920163686694,0.0
202,Adenosine-13C-10,C10H13N5O4-13C-10,+,278.1376,-7.5,5.96,0.01,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
203,Guanosine-13C-0,C10H13N5O5-13C-0,+,284.0989,-2.6,9.08,0.26,7,-,-,20545,41248,36204,33808,-,23870,33252,25098,0.6225186981371937,0.15956357970729793,0.0,0.6225186981371937,-0.1595635797072981,0.0
204,Guanosine-13C-1,C10H13N5O5-13C-1,+,285.1023,-3.5,9.11,0.04,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
205,Guanosine-13C-2,C10H13N5O5-13C-2,+,286.1057,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
206,Guanosine-13C-3,C10H13N5O5-13C-3,+,287.109,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
207,Guanosine-13C-4,C10H13N5O5-13C-4,+,288.1124,-4.4,9.08,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
208,Guanosine-13C-5,C10H13N5O5-13C-5,+,289.1157,-7.7,9.12,0.14,10,56869,37169,52584,84032,70564,86534,39351,89201,86842,78771,0.5258020483043335,-0.1864538818418361,0.0,0.5258020483043335,0.1864538818418361,0.0
209,Guanosine-13C-6,C10H13N5O5-13C-6,+,290.1191,-8.9,9.08,0.13,9,31139,-,36910,67953,46107,46890,36740,51239,51309,36485,0.7025068600346871,-0.14167139804948065,0.0,0.7025068600346871,0.1416713980494806,0.0
210,Guanosine-13C-7,C10H13N5O5-13C-7,+,291.1224,-9.7,9.12,0.13,9,30427,-,26177,34689,21306,19495,19255,35596,27727,23919,0.5896683357393715,-0.16892965405510935,0.0,0.5896683357393715,0.1689296540551093,0.0
211,Guanosine-13C-8,C10H13N5O5-13C-8,+,292.1258,-4.4,9.08,0.06,5,18487,-,-,38135,-,22344,-,22869,14438,-,0.5505043281118451,0.3421322703160057,0.0,0.5505043281118451,-0.3421322703160057,0.0
212,Guanosine-13C-9,C10H13N5O5-13C-9,+,293.1291,-1.5,9.13,0.05,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
213,Guanosine-13C-10,C10H13N5O5-13C-10,+,294.1325,-0.7,9.34,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
214,Thymidine-13C-0,C10H14N2O5-13C-0,+,243.0975,-3.5,9.03,0.01,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
215,Thymidine-13C-1,C10H14N2O5-13C-1,+,244.1009,-5.7,9.0,0.09,10,29446,29392,36185,31792,24578,23854,23178,28955,20103,22504,0.0817052651227656,0.30238166963733165,0.0,0.0817052651227656,-0.3023816696373319,0.0
216,Thymidine-13C-2,C10H14N2O5-13C-2,+,245.1043,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
217,Thymidine-13C-3,C10H14N2O5-13C-3,+,246.1076,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
218,Thymidine-13C-4,C10H14N2O5-13C-4,+,247.111,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
219,Thymidine-13C-5,C10H14N2O5-13C-5,+,248.1143,-9.4,8.88,0.35,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
220,Thymidine-13C-6,C10H14N2O5-13C-6,+,249.1177,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
221,Thymidine-13C-7,C10H14N2O5-13C-7,+,250.121,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
222,Thymidine-13C-8,C10H14N2O5-13C-8,+,251.1244,0.5,8.88,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
223,Thymidine-13C-9,C10H14N2O5-13C-9,+,252.1277,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
224,Thymidine-13C-10,C10H14N2O5-13C-10,+,253.1311,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
225,Adenosine monophosphate-13C-0,C10H14N5O7P-13C-0,+,348.0704,-5.6,10.94,0.12,1,-,-,-,-,-,-,-,-,-,55823,0.24150397191306,-0.8116982491531771,0.0,0.24150397191306,0.811698249153177,0.0
226,Adenosine monophosphate-13C-1,C10H14N5O7P-13C-1,+,349.0737,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
227,Adenosine monophosphate-13C-2,C10H14N5O7P-13C-2,+,350.0771,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
228,Adenosine monophosphate-13C-3,C10H14N5O7P-13C-3,+,351.0804,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
229,Adenosine monophosphate-13C-4,C10H14N5O7P-13C-4,+,352.0838,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
230,Adenosine monophosphate-13C-5,C10H14N5O7P-13C-5,+,353.0871,-7.7,10.94,0.22,3,-,-,-,-,-,-,52511,-,98219,173674,0.03271990400477541,-2.4431132166904006,8.0,0.03271990400477541,2.443113216690401,8.0
231,Adenosine monophosphate-13C-6,C10H14N5O7P-13C-6,+,354.0905,-0.3,10.94,0.18,4,-,-,-,-,-,-,67859,78243,51299,121383,0.0005902947327394575,-2.416969723556007,428.0,0.0005902947327394575,2.416969723556007,428.0
232,Adenosine monophosphate-13C-7,C10H14N5O7P-13C-7,+,355.0938,-1.8,10.94,0.07,3,-,-,-,-,-,-,-,22635,35865,76458,0.057058681755392734,-1.6234958508534865,1.0,0.057058681755392734,1.6234958508534865,1.0
233,Adenosine monophosphate-13C-8,C10H14N5O7P-13C-8,+,356.0972,-7.9,10.94,0.16,4,-,10463,-,-,-,-,52984,-,39356,62734,0.00883866364814282,-2.0339509387826715,12.0,0.00883866364814282,2.0339509387826715,12.0
234,Adenosine monophosphate-13C-9,C10H14N5O7P-13C-9,+,357.1006,-3.5,10.94,0.02,3,-,-,-,-,-,-,-,11328,11908,10393,0.029675393624073287,-0.1252874067518999,0.0,0.029675393624073287,0.1252874067518999,0.0
235,Adenosine monophosphate-13C-10,C10H14N5O7P-13C-10,+,358.1039,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
236,Guanosine monophosphate-13C-0,C10H14N5O8P-13C-0,+,364.0653,-4.1,13.81,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
237,Guanosine monophosphate-13C-1,C10H14N5O8P-13C-1,+,365.0686,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
238,Guanosine monophosphate-13C-2,C10H14N5O8P-13C-2,+,366.072,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
239,Guanosine monophosphate-13C-3,C10H14N5O8P-13C-3,+,367.0753,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
240,Guanosine monophosphate-13C-4,C10H14N5O8P-13C-4,+,368.0787,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
241,Guanosine monophosphate-13C-5,C10H14N5O8P-13C-5,+,369.0821,-6.9,13.81,0.17,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
242,Guanosine monophosphate-13C-6,C10H14N5O8P-13C-6,+,370.0854,-2.7,13.81,0.27,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
243,Guanosine monophosphate-13C-7,C10H14N5O8P-13C-7,+,371.0888,-4.7,13.87,0.09,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
244,Guanosine monophosphate-13C-8,C10H14N5O8P-13C-8,+,372.0921,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
245,Guanosine monophosphate-13C-9,C10H14N5O8P-13C-9,+,373.0955,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
246,Guanosine monophosphate-13C-10,C10H14N5O8P-13C-10,+,374.0988,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
247,ADP-13C-0,C10H15N5O10P2-13C-0,-,426.0221,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
248,ADP-13C-1,C10H15N5O10P2-13C-1,-,427.0255,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
249,ADP-13C-2,C10H15N5O10P2-13C-2,-,428.0288,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
250,ADP-13C-3,C10H15N5O10P2-13C-3,-,429.0322,1.2,12.7,0.24,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
251,ADP-13C-4,C10H15N5O10P2-13C-4,-,430.0356,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
252,ADP-13C-5,C10H15N5O10P2-13C-5,-,431.0389,-5.8,12.53,0.13,1,-,-,-,-,-,-,-,-,-,11321,0.24150397191306,-0.046875168955721316,0.0,0.24150397191306,0.046875168955721434,0.0
253,ADP-13C-6,C10H15N5O10P2-13C-6,-,432.0423,1.7,12.72,0.29,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
254,ADP-13C-7,C10H15N5O10P2-13C-7,-,433.0456,-8.6,12.72,0.02,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
255,ADP-13C-8,C10H15N5O10P2-13C-8,-,434.049,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
256,ADP-13C-9,C10H15N5O10P2-13C-9,-,435.0523,-7.0,12.46,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
257,ADP-13C-10,C10H15N5O10P2-13C-10,-,436.0557,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
258,Guanosine diphosphate-13C-0,C10H15N5O11P2-13C-0,-,442.0171,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
259,Guanosine diphosphate-13C-1,C10H15N5O11P2-13C-1,-,443.0204,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
260,Guanosine diphosphate-13C-2,C10H15N5O11P2-13C-2,-,444.0238,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
261,Guanosine diphosphate-13C-3,C10H15N5O11P2-13C-3,-,445.0271,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
262,Guanosine diphosphate-13C-4,C10H15N5O11P2-13C-4,-,446.0305,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
263,Guanosine diphosphate-13C-5,C10H15N5O11P2-13C-5,-,447.0338,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
264,Guanosine diphosphate-13C-6,C10H15N5O11P2-13C-6,-,448.0372,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
265,Guanosine diphosphate-13C-7,C10H15N5O11P2-13C-7,-,449.0405,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
266,Guanosine diphosphate-13C-8,C10H15N5O11P2-13C-8,-,450.0439,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
267,Guanosine diphosphate-13C-9,C10H15N5O11P2-13C-9,-,451.0472,-8.8,15.01,0.17,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
268,Guanosine diphosphate-13C-10,C10H15N5O11P2-13C-10,-,452.0506,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
269,dTDP-13C-0,C10H16N2O11P2-13C-0,-,401.0157,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
270,dTDP-13C-1,C10H16N2O11P2-13C-1,-,402.019,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
271,dTDP-13C-2,C10H16N2O11P2-13C-2,-,403.0224,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
272,dTDP-13C-3,C10H16N2O11P2-13C-3,-,404.0257,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
273,dTDP-13C-4,C10H16N2O11P2-13C-4,-,405.0291,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
274,dTDP-13C-5,C10H16N2O11P2-13C-5,-,406.0324,-5.5,11.32,0.24,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
275,dTDP-13C-6,C10H16N2O11P2-13C-6,-,407.0358,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
276,dTDP-13C-7,C10H16N2O11P2-13C-7,-,408.0391,-7.9,11.32,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
277,dTDP-13C-8,C10H16N2O11P2-13C-8,-,409.0425,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
278,dTDP-13C-9,C10H16N2O11P2-13C-9,-,410.0459,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
279,dTDP-13C-10,C10H16N2O11P2-13C-10,-,411.0492,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
280,Adenosine triphosphate-13C-0,C10H16N5O13P3-13C-0,-,505.9885,4.6,14.26,0.31,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
281,Adenosine triphosphate-13C-1,C10H16N5O13P3-13C-1,-,506.9918,-6.2,14.18,0.12,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
282,Adenosine triphosphate-13C-2,C10H16N5O13P3-13C-2,-,507.9952,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
283,Adenosine triphosphate-13C-3,C10H16N5O13P3-13C-3,-,508.9985,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
284,Adenosine triphosphate-13C-4,C10H16N5O13P3-13C-4,-,510.0019,-6.8,14.08,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
285,Adenosine triphosphate-13C-5,C10H16N5O13P3-13C-5,-,511.0052,2.1,14.18,0.11,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
286,Adenosine triphosphate-13C-6,C10H16N5O13P3-13C-6,-,512.0086,2.0,14.26,0.08,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
287,Adenosine triphosphate-13C-7,C10H16N5O13P3-13C-7,-,513.012,-5.6,14.08,0.21,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
288,Adenosine triphosphate-13C-8,C10H16N5O13P3-13C-8,-,514.0153,2.9,14.26,0.08,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
289,Adenosine triphosphate-13C-9,C10H16N5O13P3-13C-9,-,515.0187,-5.9,14.08,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
290,Adenosine triphosphate-13C-10,C10H16N5O13P3-13C-10,-,516.022,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
291,Guanosine triphosphate-13C-0,C10H16N5O14P3-13C-0,-,521.9834,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
292,Guanosine triphosphate-13C-1,C10H16N5O14P3-13C-1,-,522.9867,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
293,Guanosine triphosphate-13C-2,C10H16N5O14P3-13C-2,-,523.9901,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
294,Guanosine triphosphate-13C-3,C10H16N5O14P3-13C-3,-,524.9934,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
295,Guanosine triphosphate-13C-4,C10H16N5O14P3-13C-4,-,525.9968,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
296,Guanosine triphosphate-13C-5,C10H16N5O14P3-13C-5,-,527.0002,-8.3,15.01,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
