,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,np_vs_p_ttest_pval,np_vs_p_Log2FoldChange,np_vs_p_impact_score,p_vs_np_ttest_pval,p_vs_np_Log2FoldChange,p_vs_np_impact_score
400,Valerylcarnitine-13C-5,C12H23NO4-13C-5,+,251.1868,-4.6,3.77,0.17,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
401,Valerylcarnitine-13C-6,C12H23NO4-13C-6,+,252.1901,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
402,Valerylcarnitine-13C-7,C12H23NO4-13C-7,+,253.1935,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
403,Valerylcarnitine-13C-8,C12H23NO4-13C-8,+,254.1968,-3.2,3.69,0.17,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
404,Valerylcarnitine-13C-9,C12H23NO4-13C-9,+,255.2002,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
405,Valerylcarnitine-13C-10,C12H23NO4-13C-10,+,256.2035,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
406,Valerylcarnitine-13C-11,C12H23NO4-13C-11,+,257.2069,2.8,3.66,0.0,1,-,-,-,-,-,-,-,-,20906,-,0.24150397191306,-0.25771780710653297,0.0,0.24150397191306,0.25771780710653297,0.0
407,Valerylcarnitine-13C-12,C12H23NO4-13C-12,+,258.2102,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
408,Adenylsuccinic acid-13C-0,C14H18N5O11P-13C-0,-,462.0668,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
409,Adenylsuccinic acid-13C-1,C14H18N5O11P-13C-1,-,463.0701,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
410,Adenylsuccinic acid-13C-2,C14H18N5O11P-13C-2,-,464.0735,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
411,Adenylsuccinic acid-13C-3,C14H18N5O11P-13C-3,-,465.0768,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
412,Adenylsuccinic acid-13C-4,C14H18N5O11P-13C-4,-,466.0802,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
