,Metabolite,Formula,Polarity (z),Labeling,Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,is_global_winner,RT,RT_min,RT_max,RT_range,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,np_Mean,p_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
58,Ribose 1-phosphate-13C-0,C5H11O8P-13C-0,-,13C,ESI,11.0,12.4,10.0,0.2,229.0119,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
59,Ribose 1-phosphate-13C-1,C5H11O8P-13C-1,-,13C,ESI,11.0,12.4,10.0,0.2,230.0152,230.0133,-8.4,S04433,No,11.92,11.92,11.92,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
60,Ribose 1-phosphate-13C-2,C5H11O8P-13C-2,-,13C,ESI,11.0,12.4,10.0,0.2,231.0186,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
61,Ribose 1-phosphate-13C-3,C5H11O8P-13C-3,-,13C,ESI,11.0,12.4,10.0,0.2,232.0219,232.0211,-3.6,S04435,Yes,11.78,11.78,11.78,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
62,Ribose 1-phosphate-13C-4,C5H11O8P-13C-4,-,13C,ESI,11.0,12.4,10.0,0.2,233.0253,233.026,3.0,S04430,No,11.64,11.64,11.64,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
63,Ribose 1-phosphate-13C-5,C5H11O8P-13C-5,-,13C,ESI,11.0,12.4,10.0,0.2,234.0287,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
64,D-Ribose 5-phosphate-13C-0,C5H11O8P-13C-0,-,13C,ESI,12.4,13.8,10.0,0.2,229.0119,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
65,D-Ribose 5-phosphate-13C-1,C5H11O8P-13C-1,-,13C,ESI,12.4,13.8,10.0,0.2,230.0152,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
66,D-Ribose 5-phosphate-13C-2,C5H11O8P-13C-2,-,13C,ESI,12.4,13.8,10.0,0.2,231.0186,231.0165,-9.0,S04435,No,12.82,12.82,12.82,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
67,D-Ribose 5-phosphate-13C-3,C5H11O8P-13C-3,-,13C,ESI,12.4,13.8,10.0,0.2,232.0219,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
68,D-Ribose 5-phosphate-13C-4,C5H11O8P-13C-4,-,13C,ESI,12.4,13.8,10.0,0.2,233.0253,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
69,D-Ribose 5-phosphate-13C-5,C5H11O8P-13C-5,-,13C,ESI,12.4,13.8,10.0,0.2,234.0287,234.0274,-5.4,S04428,Yes,12.93,12.68,13.0,0.32,20721.0,11660.5,27961.0,11660.5,15236.0,11660.5,12051.0,16571.0,11660.5,15794.0,0,0,3321,0,0,0,0.505683142314021,1.9775229117268383,16483.25,14019.125,0.23360441981188676,1.175768815814111,11660.5,15251.1875,0.0,6
70,Fructose 6-phosphate-13C-0,C6H13O9P-13C-0,-,13C,ESI,12.6,13.5,10.0,0.2,259.0224,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
