Metabolite,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B
L-Leucine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Leucine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Leucine-13C-5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,53051.0,10000.0,10000.0
L-Leucine-13C-6,265617.0,44526.0,86678.0,32394.0,48125.0,48940.0,71000.0,3338310.0,72245.0,192197.0
Dihydroxyacetone phosphate-13C-0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Dihydroxyacetone phosphate-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Dihydroxyacetone phosphate-13C-2,107041.0,107041.0,107041.0,107041.0,107041.0,107041.0,107041.0,107041.0,107041.0,107041.0
Dihydroxyacetone phosphate-13C-3,114087.0,12367.5,129870.0,35489.0,43758.0,12367.5,73272.0,343974.0,121125.0,119489.0
D-Glyceraldehyde 3-phosphate-13C-0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
D-Glyceraldehyde 3-phosphate-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
D-Glyceraldehyde 3-phosphate-13C-2,101378.5,101378.5,101378.5,101378.5,101378.5,101378.5,101378.5,101378.5,101378.5,101378.5
D-Glyceraldehyde 3-phosphate-13C-3,11462.5,11462.5,11462.5,11462.5,11462.5,11462.5,11462.5,11462.5,11462.5,11462.5
Ribose 1-phosphate-13C-0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Ribose 1-phosphate-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Ribose 1-phosphate-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Ribose 1-phosphate-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Ribose 1-phosphate-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Ribose 1-phosphate-13C-5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
D-Ribose 5-phosphate-13C-0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
D-Ribose 5-phosphate-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
D-Ribose 5-phosphate-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
D-Ribose 5-phosphate-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
D-Ribose 5-phosphate-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
D-Ribose 5-phosphate-13C-5,20721.0,11660.5,27961.0,11660.5,15236.0,11660.5,12051.0,16571.0,11660.5,15794.0
Fructose 6-phosphate-13C-0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Fructose 6-phosphate-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Fructose 6-phosphate-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Fructose 6-phosphate-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Fructose 6-phosphate-13C-4,62912.0,52715.0,10000.0,44253.0,58548.0,43650.0,47415.0,10000.0,70019.0,82814.0
Fructose 6-phosphate-13C-5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Fructose 6-phosphate-13C-6,17380.5,17380.5,47759.0,17380.5,22233.0,17380.5,18564.0,65639.0,17453.0,25354.0
Glucose 6-phosphate-13C-0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Glucose 6-phosphate-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Glucose 6-phosphate-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Glucose 6-phosphate-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Glucose 6-phosphate-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Glucose 6-phosphate-13C-5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12487.0
Glucose 6-phosphate-13C-6,40957.5,40957.5,70054.0,79993.0,136258.0,79120.0,43632.0,91189.0,90233.0,306541.0
N-Acetylserine-13C-0,141268.0,141268.0,141268.0,141268.0,141268.0,141268.0,141268.0,141268.0,141268.0,141268.0
N-Acetylserine-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
N-Acetylserine-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
N-Acetylserine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,63219.0,14665.0,10000.0,10000.0
N-Acetylserine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,36045.0,39333.0,10000.0,10000.0
N-Acetylserine-13C-5,438543.5,438543.5,438543.5,438543.5,438543.5,438543.5,438543.5,438543.5,438543.5,438543.5
