Metabolite,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B
Adenosine-13C-0,0,0,0,0,0,0,110310,0,0,0
Adenosine-13C-1,0,11678,0,0,0,0,0,0,0,0
Adenosine-13C-2,0,0,0,0,0,0,0,0,0,0
Adenosine-13C-3,0,0,0,0,0,0,0,0,0,0
Adenosine-13C-4,0,22146,0,0,11544,10807,22612,0,0,0
Adenosine-13C-5,98532,1114076,129847,373535,164994,307006,847894,143242,252572,103942
Adenosine-13C-6,65029,891193,119365,322133,140794,263211,739374,157139,155576,75790
Adenosine-13C-7,33944,394625,63895,147995,92357,146922,553717,119128,80389,42444
Adenosine-13C-8,0,160133,31816,84211,40698,81661,380749,55526,30646,26388
Adenosine-13C-9,0,38531,12782,22927,14723,25561,94296,0,16373,0
Adenosine-13C-10,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-0,0,0,20545,41248,36204,33808,0,23870,33252,25098
Guanosine-13C-1,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-2,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-3,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-4,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-5,56869,37169,52584,84032,70564,86534,39351,89201,86842,78771
Guanosine-13C-6,31139,0,36910,67953,46107,46890,36740,51239,51309,36485
Guanosine-13C-7,30427,0,26177,34689,21306,19495,19255,35596,27727,23919
Guanosine-13C-8,18487,0,0,38135,0,22344,0,22869,14438,0
Guanosine-13C-9,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-10,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-0,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-1,29446,29392,36185,31792,24578,23854,23178,28955,20103,22504
Thymidine-13C-2,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-3,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-4,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-5,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-6,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-7,0,0,0,0,0,0,0,0,0,0
