,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T10,T11,T12,T1,T2,T3,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 minus Dox_Mean,Tom plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
26,Carnosine,C9H14N4O3,[M+H]+,10.6,12.6,15,0.2,227.1139,227.1108,-13.5,S07375,10.67,10.67,10.67,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
27,CDP,C9H15N3O11P2,[M+H]+,13.0,15.0,15,0.2,404.0255,404.0258,0.8,S07377,14.44,14.34,14.66,0.32,31651.5,31651.5,31651.5,31651.5,31651.5,31651.5,2528,1427,11957,5467,14305,7619,NA,NA,31651.5,31651.5,0.0,1.0,31651.5,31651.5,0.0,0
28,Choline,C5H14NO,[Cat]+,11.0,15.0,15,0.2,104.10700000000001,104.1071,1.1,S07376,11.01,11.0,11.15,0.15,2276984.0,2875430.0,2604378.0,1151845.0,1080482.0,1391928.0,84213,19853,105521,17292,320653,15686,0.002200794766959451,454.3813057959823,2585597.3333333335,1208085.0,1.0977756500440365,2.14024454681031,291609.0,1896841.1666666667,1845.0,6
29,cis-Aconitic acid,C6H6O6,[M-H]-,14.1,16.1,15,0.2,173.0092,173.0081,-6.1,S07377,15.25,15.12,15.28,0.16,2551038.0,3516876.0,4647682.0,1086962.0,1302028.0,1930565.0,101856,32712,493736,87525,777404,103227,0.03146480188648504,31.78154445744425,3571865.3333333335,1439851.6666666667,1.3107574958498946,2.4807175739167575,808230.0,2505858.5,198.0,6
30,Citric acid,C6H8O7,[M-H]-,14.2,16.2,15,0.2,191.0197,191.0188,-4.9,S07377,15.51,15.47,15.58,0.11,6483171.0,8857884.0,13614272.0,4222080.5,4222080.5,4528466.0,1971576,958014,1945152,776307,2055455,717657,0.0641053799749091,15.599314759407102,9651775.666666666,4324209.0,1.1583581299422734,2.2320326484373596,4222080.5,6987992.333333333,243.0,4
31,Citrulline,C6H13N3O3,[M+H]+,10.9,12.9,15,0.2,176.10299999999998,176.1026,-2.1,S07377,12.31,12.21,12.36,0.15,138369.0,138369.0,2219632.0,138369.0,407552.0,138369.0,26245,27566,37109,27048,113805,24965,0.43657883812687487,2.2905370408938337,832123.3333333334,228096.66666666666,1.8671520098504997,3.648117026406933,138369.0,530110.0,4.0,2
32,Creatine,C4H9N3O2,[M+H]+,10.0,11.5,15,0.2,132.0768,132.0764,-2.7,S07376,11.12,11.02,11.12,0.1,505485984.0,569474752.0,568118976.0,255044896.0,277924096.0,273458400.0,7687539,143192,14419734,695502,22296378,879882,0.00023263382226761348,4298.60108152991,547693237.3333334,268809130.6666667,1.0267859236191696,2.037480036392415,23071113.5,408251184.0,3575592.0,6
33,Creatinine,C4H7N3O,[M+H]+,5.2,7.2,15,0.2,114.0662,114.0661,-0.8,S07377,6.7,6.59,6.72,0.12,5055950.0,7109996.0,7234703.0,2845381.0,2641810.0,2704647.0,83253,39894,289210,82828,461983,125217,0.006211323860240366,160.99627430492762,6466883.0,2730612.6666666665,1.2438458246493818,2.368290119995049,551192.5,4598747.833333333,1753.0,6
34,Cyclic AMP,C10H12N5O6P,[M-H]-,5.8,7.8,15,0.2,328.0452,328.0435,-5.3,S07372,6.95,6.81,7.01,0.2,19952.0,24411.0,25621.0,20946.0,18605.0,29287.0,0,0,0,1494,2096,2269,0.922142562808451,1.0844310200305998,23328.0,22946.0,0.023819943169874222,1.016647781748453,12929.5,23137.0,0.0,6
35,Cytidine,C9H13N3O5,[M+H]+,7.1,9.1,15,0.2,244.0928,244.0928,0.0,S07377,8.56,8.42,8.74,0.32,76044.0,92407.0,95930.0,68630.0,58662.0,36161.0,13337,4179,2117,3018,3077,3107,0.04182377072526352,23.909847980205026,88127.0,54484.333333333336,0.6937426434476219,1.6174741362960605,24417.5,71305.66666666667,3.0,6
