,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T7,T8,T9,T1,T2,T3,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 plus Dox_Mean,Tom plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
71,L-Aspartic acid,C4H7NO4,[M-H]-,10.8,12.8,15,0.2,132.0302,132.0289,-10.1,S07368,12.04,11.89,12.04,0.15,32607638.0,29468054.0,31588108.0,30327814.0,35065012.0,36713228.0,2050897,58553,2155555,48794,1441148,30860,0.25611253284541,3.904533639529471,31221266.666666668,34035351.333333336,-0.1245049326132429,0.9173187713237846,2902903.5,32628309.0,139.0,6
72,L-Carnitine,C7H16NO3,[Cat]+,8.3,10.3,15,0.2,162.1125,162.1119,-3.5,S07377,9.85,9.81,9.94,0.13,4300740.0,3418680.0,3513230.0,1830220.0,2136454.0,2702769.0,18933,10879,19847,12473,29672,9162,0.01592551916338164,62.79230144655824,3744216.6666666665,2223147.6666666665,0.752060143076165,1.6841961165272723,60483.0,2983682.1666666665,316.0,6
73,L-Cystathionine,C7H14N2O4S,[M+H]+,12.2,14.2,15,0.2,223.0747,223.074,-3.2,S07372,13.54,13.48,13.58,0.1,2507367.0,1892499.0,1914338.0,791363.0,1068083.0,1232842.0,27810,2958,74298,9223,25808,6098,0.010887869035533721,91.84533692831842,2104734.6666666665,1030762.6666666666,1.029926181345022,2.041919769439328,83097.5,1567748.6666666665,294.0,6
74,L-Cysteine,C3H7NO2S,[M+H]+,13.0,17.0,15,0.2,122.027,122.0272,1.4,S07377,13.93,13.68,14.15,0.47,12307.0,12307.0,12307.0,12307.0,12307.0,12307.0,0,0,1637,1488,1489,0,NA,NA,12307.0,12307.0,0.0,1.0,12307.0,12307.0,0.0,0
75,L-Cystine,C6H12N2O4S2,[M-H]-,11.7,13.7,15,0.2,239.0166,239.0155,-4.5,S07369,12.87,12.76,12.96,0.2,12258.0,12258.0,12258.0,12258.0,12258.0,12258.0,2179,1333,1004,0,0,0,NA,NA,12258.0,12258.0,0.0,1.0,12258.0,12258.0,0.0,0
76,L-Glutamic acid,C5H9NO4,[M+H]+,10.0,13.0,15,0.2,148.0604,148.06,-2.9,S07372,11.76,11.63,11.76,0.13,363826400.0,344263936.0,330420672.0,292281664.0,309193184.0,335917792.0,24334398,515793,28711926,911899,20163582,702864,0.10252444953360772,9.753770974134301,346170336.0,312464213.3333333,0.147791135971034,1.1078719457409012,37680231.0,329317274.6666666,3559.0,6
77,L-Glutamine,C5H10N2O3,[M+H]+,10.1,12.1,15,0.2,147.0764,147.0759,-3.5,S07372,11.52,11.39,11.53,0.13,835338304.0,774815360.0,803488832.0,729829632.0,811804736.0,798679552.0,66526572,362584,65308548,681199,33077860,468432,0.47253133605441344,2.1162617665738193,804547498.6666666,780104640.0,0.044509942836550305,1.031332794875655,83222597.5,792326069.3333333,1729.0,6
78,L-Histidine,C6H9N3O2,[M+H]+,9.9,11.9,15,0.2,156.0768,156.0763,-2.9,S07368,11.09,10.89,11.23,0.33,49552484.0,50148708.0,49502980.0,43371636.0,52939892.0,57224160.0,5855880,161179,7290897,198567,6363190,178183,0.742489436597452,1.3468205077537823,49734724.0,51178562.666666664,-0.04128615981692915,0.97178821382557,10033948.0,50456643.33333333,70.0,6
79,L-Isoleucine,C6H13NO2,[M+H]+,6.0,7.5,15,0.2,132.1019,132.1016,-2.3,S07372,7.44,7.34,7.45,0.11,136682304.0,119806728.0,107783200.0,88320064.0,104060064.0,117711496.0,710669,59987,785074,72298,667359,67452,0.2046696269316062,4.88592281615956,121424077.33333333,103363874.66666667,0.23232246719407718,1.1747245130361856,1191419.5,112393976.0,645.0,6
80,L-Kynurenine,C10H12N2O3,[M+H]+,6.0,8.0,15,0.2,209.0921,209.092,-0.3,S07373,7.57,7.35,7.78,0.43,71030.0,90183.0,86948.0,51740.0,55552.0,78493.0,3045,2862,0,0,2742,0,0.11213860497475484,8.917535582194239,82720.33333333333,61928.333333333336,0.41764237963668893,1.3357429286540892,14324.5,72324.33333333333,1.0,6
81,L-Lactic acid,C3H6O3,[M-H]-,6.2,8.2,15,0.2,89.0244,89.0231,-14.8,S07377,7.14,7.01,7.38,0.38,173016112.0,295789664.0,165660720.0,157859104.0,184120656.0,162918272.0,1659393,1391950,1936330,1446236,2208754,1492008,0.37165041105108054,2.69070064303671,211488832.0,168299344.0,0.3295519282607598,1.2566230323512135,5077335.5,189894088.0,642.0,6
82,L-Leucine,C6H13NO2,[M+H]+,7.5,9.0,15,0.2,132.1019,132.1016,-2.3,S07372,8.0,7.9,8.02,0.13,305454080.0,265219440.0,262362464.0,216846320.0,242659904.0,259340352.0,1125797,80604,1358586,100706,1189948,100401,0.11028122315070313,9.067726775513409,277678661.3333333,239615525.33333334,0.21269492793737546,1.1588508755726479,1988021.0,258647093.3333333,2718.0,6
83,L-Lysine,C6H14N2O2,[M+H]+,18.0,20.0,15,0.2,147.1128,147.1124,-2.7,S07377,19.34,19.3,19.46,0.15,21231570.0,19511376.0,18761220.0,11915853.0,17061276.0,19579320.0,3190135,590053,4491736,610717,5004466,628951,0.19857351524470276,5.035918303443926,19834722.0,16185483.0,0.29332775860856375,1.2254637071998407,7268029.0,18010102.5,111.0,6
84,L-Malic acid,C4H6O5,[M-H]-,12.2,14.2,15,0.2,133.0142,133.0129,-10.1,S07372,13.29,13.22,13.31,0.09,122430416.0,110561320.0,112903920.0,75488448.0,88480920.0,92927368.0,12388034,3686052,16458926,4001143,16590238,3810155,0.009596524751346473,104.20438918366689,115298552.0,85632245.33333333,0.4291483352478223,1.3464385004876045,28477274.0,100465398.66666666,14096.0,6
85,L-Methionine,C5H11NO2S,[M+H]+,6.8,8.8,15,0.2,150.0583,150.058,-2.2,S07372,8.2,8.11,8.23,0.12,148775168.0,124160240.0,121812888.0,109821032.0,124164392.0,132196448.0,348408,3700,374887,9436,230527,10014,0.4287279744658347,2.332481339119358,131582765.33333333,122060624.0,0.10837266682433477,1.0780115734402056,498486.0,126821694.66666666,319.0,6
86,L-Phenylalanine,C9H11NO2,[M+H]+,5.6,7.6,15,0.2,166.0863,166.0857,-3.3,S07372,7.01,6.93,7.07,0.14,197257680.0,181240448.0,179100800.0,143650448.0,160301488.0,172830800.0,180917,19836,253574,20417,263594,22892,0.05767890323182643,17.337361564951077,185866309.33333334,158927578.66666666,0.22589578991138362,1.1695031843602661,390615.0,172396944.0,3496.0,6
87,L-Proline,C5H9NO2,[M+H]+,7.9,9.9,15,0.2,116.0706,116.0705,-0.9,S07377,9.37,9.29,9.42,0.12,984932864.0,951235840.0,900499456.0,444358528.0,500123040.0,501305440.0,5993912,861220,20363586,557996,24822176,743682,0.00011504351744710452,8692.362874420862,945556053.3333334,481929002.6666667,0.9723423592329556,1.9620235513971365,26681286.0,713742528.0,12172608.0,6
88,L-Serine,C3H7NO3,[M+H]+,10.8,12.8,15,0.2,106.0499,106.0499,0.3,S07372,12.16,12.05,12.18,0.13,18979634.0,16636344.0,17620638.0,15949351.0,17623678.0,17909354.0,1048373,34931,1027462,39067,809711,41699,0.5570823522162152,1.7950667365816668,17745538.666666668,17160794.333333332,0.04834003475237584,1.0340744328016054,1510621.5,17453166.5,32.0,6
89,L-Threonine,C4H9NO3,[M-H]-,9.5,11.5,15,0.2,118.051,118.0496,-11.6,S07372,10.96,10.81,10.99,0.17,32047378.0,27492600.0,27346590.0,19786356.0,20624430.0,20417866.0,1628055,21283,1965762,34862,1071751,21403,0.00513994201147747,194.55472411303552,28962189.333333332,20276217.333333332,0.5143821310766439,1.4283822695922967,2381558.0,24619203.333333332,6842.0,6
90,L-Tryptophan,C11H12N2O2,[M+H]+,6.8,8.8,15,0.2,205.0972,205.0965,-3.2,S07372,8.25,8.14,8.4,0.26,24717976.0,20648472.0,19930736.0,16611743.0,19298066.0,22021164.0,28308,3181,31088,3515,33000,2328,0.31888186911099975,3.1359575343304,21765728.0,19310324.333333332,0.17268587908299632,1.1271549676888735,60710.0,20538026.166666664,73.0,6
91,L-Tyrosine,C9H11NO3,[M+H]+,8.2,10.2,15,0.2,182.0812,182.0807,-2.6,S07368,9.61,9.44,9.62,0.18,57168860.0,49665884.0,50089820.0,51264604.0,58364700.0,66300648.0,399216,6595,584645,6569,468180,8353,0.27209800566658293,3.675146378049373,52308188.0,58643317.333333336,-0.16492992140625426,0.8919718457036809,746779.0,55475752.66666667,229.0,6
92,L-Valine,C5H11NO2,[M+H]+,8.3,9.2,15,0.2,118.0863,118.0862,-0.5,S07372,9.11,9.02,9.15,0.13,200014288.0,182021104.0,176544096.0,148799712.0,158816064.0,170858704.0,1360599,88297,1661692,98481,1553454,106888,0.04879503608998485,20.493887906053814,186193162.66666666,159491493.33333334,0.22332061742220066,1.1674175140960494,2444705.5,172842328.0,4135.0,6
93,N6-Acetyl-L-lysine,C8H16N2O3,[M+H]+,1.9,3.9,15,0.2,189.1234,189.1214,-10.4,S07368,3.21,3.15,3.23,0.09,664946.0,2164901.0,728445.0,1959962.0,1835435.0,2907500.0,110938,113421,110284,119871,131434,136152,0.15310132221203904,6.531622232596013,1186097.3333333333,2234299.0,-0.9135998591788571,0.530858821193284,371050.0,1710198.1666666665,21.0,6
94,N-Acetylglutamic acid,C7H11NO5,[M+H]+,10.3,12.3,15,0.2,190.071,190.0704,-3.2,S07374,11.73,11.56,11.85,0.29,460952.0,568663.0,782312.0,384347.0,355553.0,558756.0,71077,9551,146248,10547,43498,6401,0.20712005180164125,4.828117757317381,603975.6666666666,432885.3333333333,0.48050550539408554,1.395232455708055,153661.0,518430.5,3.0,6
95,N-Acetylglutamine,C7H12N2O4,[M-H]-,6.8,8.8,15,0.2,187.0724,187.0713,-6.0,S07372,8.03,7.86,8.08,0.22,368879.0,296457.0,249674.0,301186.0,310960.0,314107.0,0,0,0,0,1115,1108,0.9196403827165411,1.0873815665272148,305003.3333333333,308751.0,-0.017618799637954992,0.9878618476809251,11111.5,306877.1666666666,0.0,6
96,N-Acetyl-L-alanine,C5H9NO3,[M+H]+,6.0,7.0,15,0.2,132.0655,132.0652,-2.4,S07377,6.5,6.3,6.74,0.44,6484732.0,5512306.0,5513290.0,2832395.0,3267759.0,3272030.0,18990,12468,15557,12736,14263,12436,0.0015803842598870136,632.7575042233672,5836776.0,3124061.3333333335,0.9017489249085675,1.8683295163645954,53225.0,4480418.666666667,5297.0,6
97,N-Acetyl-L-methionine,C7H13NO3S,[M+H]+,3.0,5.0,15,0.2,192.0689,192.0683,-3.1,S07372,4.17,4.1,4.35,0.26,2666913.0,2251381.0,2156003.0,1006121.0,1109498.0,1271989.0,0,0,0,0,1074,0,0.0021611751290107847,462.71122898666755,2358099.0,1129202.6666666667,1.0623198473136932,2.088286779344009,10537.0,1743650.8333333335,1685.0,6
98,N-Acetyl-L-phenylalanine,C11H13NO3,[M+H]+,2.8,4.0,15,0.2,208.0968,208.0963,-2.5,S07372,3.55,3.47,3.57,0.1,151802.0,108046.0,111292.0,108046.0,108046.0,109928.0,25543,32400,45742,26830,25984,39593,0.3459065246143706,2.8909544308678106,123713.33333333333,108673.33333333333,0.1870030267357326,1.1383964173977057,108046.0,116193.33333333333,0.0,3
99,N-Acetylornithine,C7H14N2O3,[M+H]+,8.6,10.6,15,0.2,175.1077,175.1074,-1.8,S07372,10.06,9.83,10.18,0.34,29440.0,25996.0,27924.0,25996.0,25996.0,25996.0,7504,3934,7094,3537,6488,3435,0.146777559701823,6.813030561561924,27786.666666666668,25996.0,0.0961031237998144,1.068882392162897,25996.0,26891.333333333336,0.0,2
100,N-Acetylserine,C5H9NO4,[M-H]-,7.5,8.5,15,0.2,146.0459,146.0447,-8.1,S07377,8.16,8.02,8.31,0.29,19344504.0,15663741.0,15297970.0,8708903.0,9445965.0,10088244.0,7705,6330,9764,4363,16653,4925,0.00554816544555687,180.23975849545522,16768738.333333334,9414370.666666666,0.832837584076707,1.7811852674025441,34870.0,13091554.5,4203.0,6
101,NAD,C21H28N7O14P2,[Cat]+,9.9,11.9,15,0.2,664.1164,664.1161,-0.5,S07377,11.17,10.96,11.17,0.21,2160035.0,1775460.0,1998427.0,936752.0,1262711.0,1460620.0,56879,0,130929,2804,136260,3015,0.016017748373194415,62.43074723745147,1977974.0,1220027.6666666667,0.6971095980649159,1.6212533978054595,174943.5,1599000.8333333335,162.0,6
102,NADH,C21H29N7O14P2,[M-H]-,9.5,11.5,15,0.2,664.1175,664.1166,-1.4,S07377,10.69,10.57,10.75,0.18,307282.0,248640.0,256556.0,150227.0,199524.0,209523.0,5880,0,6190,1361,7893,0,0.03130137189693133,31.947481512720415,270826.0,186424.66666666666,0.5387734860947146,1.4527369411057909,20662.0,228625.3333333333,11.0,6
103,NADP,C21H29N7O17P3,[Cat]+,12.7,14.7,15,0.2,744.0827,744.0787,-5.4,S07377,14.06,13.99,14.23,0.24,47944.0,49320.0,40196.0,39059.5,39059.5,39059.5,5949,2543,14678,2557,23165,9227,0.07594565489648186,13.167310247874687,45820.0,39059.5,0.23030397721453977,1.1730820927047196,39059.5,42439.75,1.0,3
104,NADPH,C21H30N7O17P3,[M-H]-,13.0,15.0,15,0.2,744.0838,744.0817,-2.9,S07372,14.53,14.38,14.58,0.2,75334.0,54288.0,57504.0,42060.0,37964.0,52728.0,1550,1341,2267,0,2410,0,0.08312332130717388,12.03031813784967,62375.333333333336,44250.666666666664,0.4952764296720247,1.4095908159575752,13784.0,53313.0,1.0,6
105,Niacinamide,C6H6N2O,[M+H]+,3.3,5.3,15,0.2,123.0553,123.055,-2.4,S07377,4.71,4.63,4.72,0.09,78722808.0,69475792.0,70087432.0,49113424.0,55881084.0,66919368.0,920869,424387,2308319,1247729,2797572,1613132,0.06120329796296186,16.33898880098203,72762010.66666667,57304625.333333336,0.3445338196339813,1.2697406229151624,4666004.0,65033318.0,1349.0,6
106,Nicotinic acid,C6H5NO2,[M-H]-,5.5,7.5,15,0.2,122.0248,122.0238,-7.8,SQ437_B_0,6.55,6.31,6.77,0.46,35814.0,35814.0,35814.0,35814.0,35814.0,35814.0,16348,8343,6983,6571,6773,6610,NA,NA,35814.0,35814.0,0.0,1.0,35814.0,35814.0,0.0,0
107,O-Phosphoethanolamine,C2H8NO4P,[M+H]+,11.4,13.4,15,0.2,142.0264,142.0264,0.2,S07376,11.89,11.89,12.08,0.18,10000.0,10000.0,10000.0,10000.0,10000.0,26612.0,0,0,0,0,0,0,0.3739009663000589,2.6745049896380606,10000.0,15537.333333333334,-0.6357389157853639,0.6436110872736635,10000.0,12768.666666666668,0.0,1
108,Ornithine,C5H12N2O2,[M+H]+,17.0,19.0,15,0.2,133.0972,133.0969,-1.9,S07377,17.69,17.61,17.76,0.15,11076539.0,10505005.0,9567334.0,6604819.0,9301530.0,9214019.0,2088713,410728,2630924,425096,2802726,371080,0.11172058997991526,8.950901531935846,10382959.333333334,8373456.0,0.31032259840562426,1.2399849397110743,4374633.5,9378207.666666668,104.0,6
109,Orotic acid,C5H4N2O4,[M-H]-,6.7,8.7,15,0.2,155.0098,155.0087,-7.3,S07377,7.71,7.58,7.91,0.33,78928.0,92725.0,112978.0,75311.0,89395.0,108352.0,0,1702,1288,1281,0,0,0.7931464129221321,1.2608012640639352,94877.0,91019.33333333333,0.059885373355881136,1.0423829369584485,12135.5,92948.16666666666,0.0,6
110,Orotidylic acid,C10H13N2O11P,[M+H]+,0.0,30.0,15,0.2,369.033,369.0314,-4.3,S07366,7.96,7.96,7.96,0.0,10000.0,10000.0,10000.0,11090.0,10000.0,10000.0,0,0,0,0,0,0,0.37390096630005787,2.674504989638068,10000.0,10363.333333333334,-0.05148811595782091,0.9649404953361209,10000.0,10181.666666666668,0.0,1
111,Oxidized glutathione,C20H32N6O12S2,[M+H]+,13.5,15.5,15,0.2,613.1592,613.1575,-2.8,S07369,14.77,14.74,14.83,0.09,3968342.0,3530594.0,2100167.0,3937685.0,8069208.0,11880018.0,59327,21297,171453,72172,399834,170109,0.11394225951256166,8.77637501904861,3199701.0,7962303.666666667,-1.3152487970450653,0.4018561881023461,457096.0,5581002.333333334,122.0,6
112,Oxoadipic acid,C6H8O5,[M-H]-,7.5,9.5,15,0.2,159.0299,159.0289,-6.3,SQ437_B_0,7.54,7.54,7.75,0.21,17371.5,17371.5,17371.5,17371.5,17371.5,17371.5,7155,2100,2445,1309,0,1734,NA,NA,17371.5,17371.5,0.0,1.0,17371.5,17371.5,0.0,0
113,Oxoglutaric acid,C5H6O5,[M-H]-,10.8,14.8,15,0.2,145.0142,145.013,-8.6,S07377,12.86,12.65,12.87,0.22,30562164.0,25000764.0,24725016.0,14569729.0,17435206.0,17603790.0,117273,12636,193222,11538,531539,14242,0.008800640794080633,113.62808952191372,26762648.0,16536241.666666666,0.6945894907726787,1.618423855884222,450225.0,21649444.833333332,3981.0,6
114,Palmitic acid,C16H32O2,[M-H]-,1.6,3.6,15,0.2,255.233,255.2323,-2.6,S07376,2.85,2.82,2.91,0.09,15465780.0,10604542.0,8111785.0,6817709.0,9505565.0,9533514.0,690596,596810,576132,648189,641113,575955,0.3012067649587435,3.3199785540572795,11394035.666666666,8618929.333333334,0.40269825730083575,1.321978081732348,1874397.5,10006482.5,44.0,6
115,Pantothenic acid,C9H17NO5,[M+H]+,5.1,7.1,15,0.2,220.118,220.1173,-3.0,S07371,6.21,5.97,6.42,0.45,19367314.0,16886474.0,15413587.0,29292520.0,31968604.0,34295060.0,11008,3132,7082,6076,11004,3115,0.0013813493994251408,723.9298040134942,17222458.333333332,31852061.333333332,-0.8870956530510429,0.5407015311536509,30708.5,24537259.833333332,32852.0,6
116,Phenol,C6H6O,[M-H]-,2.1,4.1,15,0.2,93.0346,93.0333,-13.9,SQ437_B_0,3.42,3.39,3.65,0.26,2609088.5,2609088.5,2609088.5,2609088.5,2609088.5,2609088.5,1187998,1000370,763503,742166,767343,736797,NA,NA,2609088.5,2609088.5,0.0,1.0,2609088.5,2609088.5,0.0,0
117,Phosphocreatine,C4H10N3O5P,[M-H]-,11.2,13.2,15,0.2,210.0285,210.0277,-4.0,S07377,12.39,12.35,12.43,0.08,7450242.0,5947386.0,5369032.0,1891732.0,2524896.0,3403469.0,130181,16548,757102,75572,1074766,104537,0.008620456192726743,116.00314155574745,6255553.333333333,2606699.0,1.2629135012251818,2.3997988771750527,1089353.0,4431126.166666666,1234.0,6
118,Phosphoenolpyruvic acid,C3H5O6P,[M-H]-,13.6,15.6,15,0.2,166.9751,166.97400000000002,-6.6,S07371,14.81,14.81,15.05,0.24,337488.0,361033.0,294813.0,83741.0,141528.0,341307.0,5922,2575,43831,11299,59758,14789,0.151557114512247,6.598172597956081,331111.3333333333,188858.66666666666,0.810009402250849,1.7532228686001525,79087.0,259985.0,3.0,6
119,Phosphoribosyl pyrophosphate,C5H13O14P3,[M-H]-,15.0,18.0,15,0.2,388.9445,388.9388,-14.8,S07376,15.62,15.62,15.64,0.01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
120,Phosphorylcholine,C5H14NO4P,[M+H]+,10.0,13.0,15,0.2,184.0733,184.0728,-2.8,S07377,11.9,11.84,11.96,0.12,1275959936.0,1228344320.0,1186025984.0,1052292672.0,1197206272.0,1256155136.0,193673248,6522238,216868608,10933922,257509584,13457748,0.4031512806821535,2.4804584480246388,1230110080.0,1168551360.0,0.07406628049117588,1.0526795159435696,349492674.0,1199330720.0,3132.0,6
121,Phosphoserine,C3H8NO6P,[M+H]+,11.5,13.5,15,0.2,186.0162,186.0162,0.0,S07372,13.45,13.4,13.46,0.05,14298.5,14298.5,14298.5,14298.5,14298.5,14298.5,2212,0,3613,0,1234,1538,NA,NA,14298.5,14298.5,0.0,1.0,14298.5,14298.5,0.0,0
122,Pipecolic acid,C6H11NO2,[M+H]+,7.5,9.5,15,0.2,130.0863,130.0862,-0.4,S07374,8.25,8.0,8.49,0.48,146858.0,146858.0,146858.0,146858.0,146858.0,146858.0,62140,49600,38110,43910,41408,38548,NA,NA,146858.0,146858.0,0.0,1.0,146858.0,146858.0,0.0,0
123,Propionylcarnitine,C10H19NO4,[M+H]+,5.2,7.2,15,0.2,218.1387,218.138,-3.1,S07377,6.7,6.52,6.93,0.42,378509.0,300433.0,246085.0,173523.0,230126.0,252930.0,13877,13731,8938,10107,10217,8000,0.118257017345623,8.456157803112498,308342.3333333333,218859.66666666666,0.49452686857229067,1.4088586445804694,42435.0,263601.0,3.0,6
124,Pyruvic acid,C3H4O3,[M-H]-,5.5,7.5,15,0.2,87.0088,87.0075,-14.6,S07377,6.12,5.89,6.12,0.24,224830.0,224830.0,224830.0,3040576.0,3620506.0,3469472.0,99527,45448,100784,44454,85124,54323,5.422987465920221e-05,18440.020492105472,224830.0,3376851.3333333335,-3.908772207455373,0.06657977441312686,224830.0,1800840.6666666667,498763.0,3
125,Ribose 1-phosphate,C5H11O8P,[M-H]-,11.0,12.4,15,0.2,229.0119,229.0112,-3.0,S07377,12.19,12.15,12.29,0.13,21947.0,18444.0,20162.0,17041.5,17041.5,17041.5,0,0,2978,0,9236,1869,0.03595029954399901,27.816179911828428,20184.333333333332,17041.5,0.24418360917355061,1.1844223415387924,17041.5,18612.916666666664,1.0,3
126,Saccharopine,C11H20N2O6,[M-H]-,11.0,14.0,15,0.2,275.1249,275.1277,10.3,S07374,12.07,11.87,12.15,0.27,11399.0,11399.0,11399.0,11399.0,11399.0,11399.0,1489,0,0,0,0,1309,NA,NA,11399.0,11399.0,0.0,1.0,11399.0,11399.0,0.0,0
127,S-Adenosylhomocysteine,C14H20N6O5S,[M-H]-,8.6,10.6,15,0.2,383.1143,383.1129,-3.7,S07376,10.07,9.95,10.13,0.17,57020.0,43492.0,45948.0,57739.0,42617.0,49556.0,1783,0,4509,0,1992,0,0.8580556922609441,1.1654255184358,48820.0,49970.666666666664,-0.033609170308709344,0.9769731575857837,14142.0,49395.33333333333,0.0,6
128,S-Adenosylmethionine,C15H22N6O5S,[M+H]+,10.7,12.7,15,0.2,399.1445,399.1436,-2.3,S07367,12.43,12.36,12.55,0.19,10082234.0,10874488.0,11405082.0,11615140.0,14427278.0,12929715.0,746075,19414,1116119,22121,917881,23666,0.07030890125403362,14.222950183603245,10787268.0,12990711.0,-0.2681508617555173,0.8303831868786858,1432638.0,11888989.5,204.0,6
129,Sarcosine,C3H7NO2,[M+H]+,11.2,12.0,15,0.2,90.055,90.0552,2.7,S07372,11.22,11.2,11.24,0.04,358244320.0,300557856.0,353729952.0,228505376.0,263486160.0,280076960.0,8515756,113419,13660977,190919,5661834,167371,0.02869458773248583,34.84977757209162,337510709.3333333,257356165.33333334,0.39116693533795394,1.311453754745615,14165138.0,297433437.3333333,13594.0,6
130,Succinic acid,C4H6O4,[M-H]-,11.3,13.3,15,0.2,117.0193,117.01799999999999,-11.4,S07376,12.48,12.42,12.49,0.08,4746066.0,4306395.0,4137576.0,2814051.0,3502688.0,3789070.0,292283,243417,280941,173409,348675,157831,0.039525526099711224,25.300105999279946,4396679.0,3368603.0,0.3842637932076606,1.3051935772781773,758278.0,3882641.0,128.0,6
131,Taurine,C2H7NO3S,[M-H]-,10.2,12.2,15,0.2,124.0074,124.006,-11.2,S07372,11.47,11.3,11.52,0.22,35960448.0,30907222.0,31512308.0,26597956.0,31132536.0,35392836.0,91562,2173,75900,1418,166872,1708,0.5902481414700456,1.6942027085582088,32793326.0,31041109.333333332,0.07922211488185686,1.056448261814698,179816.5,31917217.666666664,57.0,6
132,Thymidine,C10H14N2O5,[M-H]-,3.5,5.5,15,0.2,241.083,241.0835,2.1,S07370,3.51,3.51,3.7,0.2,54587.0,31618.0,12456.0,68129.0,12456.0,12456.0,1755,1876,0,0,0,1281,0.9367969850164066,1.0674671417548238,32887.0,31013.666666666668,0.08461330724715199,1.0604034780365645,12456.0,31950.333333333336,0.0,3
133,Uracil,C4H4N2O2,[M+H]+,5.4,7.4,15,0.2,113.0346,113.0343,-2.3,S07369,6.77,6.56,7.0,0.44,16478.5,16478.5,16478.5,16478.5,16478.5,16478.5,2544,1506,2183,2311,2455,1958,NA,NA,16478.5,16478.5,0.0,1.0,16478.5,16478.5,0.0,0
134,Ureidopropionic acid,C4H8N2O3,[M-H]-,10.4,12.4,15,0.2,131.0462,131.0449,-10.0,S07374,11.65,11.54,11.82,0.28,897391.0,845766.0,897863.0,296121.0,274579.0,386288.0,38495,2523,64270,1916,21145,2315,0.00012654350587339017,7902.420539861793,880340.0,318996.0,1.464522487342555,2.759721125029781,75332.0,599668.0,13078.0,6
135,Ureidosuccinic acid,C5H8N2O5,[M-H]-,12.8,14.8,15,0.2,175.03599999999997,175.035,-6.0,S07372,13.95,13.87,14.03,0.16,3650861.0,2490635.0,2198833.0,658394.0,843057.0,1003156.0,14284,0,24546,1349,22020,0,0.01284801042465982,77.83306262584055,2780109.6666666665,834869.0,1.735520047936551,3.329995085057256,41099.5,1807489.3333333333,468.0,6
136,Uric acid,C5H4N4O3,[M+H]+,8.8,10.8,15,0.2,169.0356,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
137,Uridine,C9H12N2O6,[M-H]-,5.5,7.5,15,0.2,243.0623,243.0613,-4.0,S07366,6.88,6.66,7.1,0.44,26271.0,27337.0,20382.0,45907.0,37312.0,24082.0,2265,1591,2047,1322,1473,1250,0.17309925536770784,5.777032361437604,24663.333333333332,35767.0,-0.5362613175746896,0.6895555493425037,14974.0,30215.166666666664,0.0,6
138,Uridine 5'-diphosphate,C9H14N2O12P2,[M+H]+,12.4,14.4,15,0.2,405.0095,405.0071,-5.9,S07376,13.6,13.55,13.83,0.28,86239.0,63356.0,62119.0,51171.0,56700.0,73426.0,2075,0,2180,0,5004,0,0.3809933978922568,2.6247173980762666,70571.33333333333,60432.333333333336,0.2237616211355766,1.1677744253903815,14629.5,65501.83333333333,0.0,6
139,Uridine 5'-monophosphate,C9H13N2O9P,[M-H]-,11.2,13.2,15,0.2,323.0286,323.0275,-3.4,S07370,12.34,12.28,12.39,0.1,236174.0,178236.0,183603.0,166377.5,177845.0,173190.0,66498,13085,78034,18575,106136,30427,0.22579589240988976,4.428778527931274,199337.66666666666,172470.83333333334,0.2088619389750638,1.1557760974077742,166377.5,185904.25,1.0,5
140,Uridine diphosphate glucose,C15H24N2O17P2,[M-H]-,12.4,14.4,15,0.2,565.0478,565.047,-1.3,S07372,13.59,13.47,13.65,0.18,1711551.0,1452924.0,1245430.0,969502.0,1190931.0,1369651.0,25017,0,30719,0,42827,0,0.1741819441834052,5.741123195565254,1469968.3333333333,1176694.6666666667,0.3210450634752113,1.2492351456792528,59281.5,1323331.5,9.0,6
141,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,[M+H]+,11.2,13.2,15,0.2,608.0889,608.0865,-3.9,S07377,12.44,12.37,12.47,0.09,399694.0,349622.0,286587.0,203585.0,230199.0,285910.0,8492,0,11581,0,18553,0,0.06082860928790968,16.439632792965405,345301.0,239898.0,0.5254333821657908,1.4393658971729653,29313.0,292599.5,7.0,6
