,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T1,T2,T3,T7,T8,T9,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,Tom plus Dox_Mean,SG1 plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
0,1-Methylnicotinamide,C7H8N2O,[M+H]+,19.0,21.0,15,0.2,137.0709,137.0708,-1.0,S07372,20.22,20.11,20.46,0.35,29987.5,29987.5,29987.5,53928.0,38243.0,40980.0,9115,6687,6796,5673,8484,3220,0.04089324714832346,24.45391524847393,29987.5,44383.666666666664,-0.5656676052664203,0.6756426913804628,29987.5,37185.58333333333,1.0,3
1,"2,3-Diphosphoglyceric acid",C3H8O10P2,[M-H]-,12.0,15.0,15,0.2,264.952,264.9531,4.2,S07377,13.29,13.17,13.4,0.23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
2,3-Hydroxybutyric acid,C4H8O3,[M-H]-,5.7,7.7,15,0.2,103.0401,103.0388,-12.3,S07376,7.29,7.16,7.53,0.37,451836.5,451836.5,451836.5,451836.5,451836.5,451836.5,152369,141953,141862,138170,156211,153108,NA,NA,451836.5,451836.5,0.0,1.0,451836.5,451836.5,0.0,0
3,3-Phosphoglyceric acid,C3H7O7P,[M-H]-,13.0,15.0,15,0.2,184.9857,184.9847,-5.2,S07372,14.26,14.24,14.46,0.22,105810.5,105810.5,148911.0,496988.0,333174.0,305700.0,9168,4255,59089,15946,79284,23879,0.013607701617744904,73.48779596224877,120177.33333333333,378620.6666666667,-1.6555883466376693,0.3174082767096707,105810.5,249399.0,58.0,4
4,"4,5-Dihydroorotic acid",C5H6N2O4,[M-H]-,7.5,9.5,15,0.2,157.0255,157.0243,-7.5,S07377,8.55,8.49,8.65,0.16,201465.0,250807.0,419284.0,328354.0,457986.0,549157.0,0,0,0,1541,0,0,0.16783199419114678,5.958339497897419,290518.6666666667,445165.6666666667,-0.6157114653907302,0.6526079803998063,10770.5,367842.1666666667,3.0,6
5,4-Hydroxyproline,C5H9NO3,[M+H]+,10.2,11.2,15,0.2,132.0655,132.0659,2.9,S07373,10.92,10.85,11.0,0.16,1008014.0,1211158.0,1325774.0,1859212.0,1967950.0,1554518.0,65034,15269,97246,11904,58112,13379,0.016722842120855,59.798447702433506,1181648.6666666667,1793893.3333333333,-0.6022929583340566,0.6587062032673813,140472.0,1487771.0,135.0,6
6,5'-Methylthioadenosine,C11H15N5O3S,[M+H]+,3.0,5.0,15,0.2,298.0968,298.0957,-3.8,S07372,4.36,4.19,4.48,0.29,4518665.0,5071175.0,5726384.0,7037084.0,6061640.0,5028520.0,38963,3893,45335,2903,37009,3516,0.23846893464019087,4.193418323056755,5105408.0,6042414.666666667,-0.2430989347761715,0.8449284403078592,75809.5,5573911.333333334,28.0,6
7,5-Phosphoribosylamine,C5H12NO7P,[M-H]-,11.5,13.5,15,0.2,228.0279,228.0269,-4.2,S07370,12.78,12.62,13.0,0.38,10819.5,10819.5,10819.5,10819.5,10819.5,10819.5,0,0,0,0,1639,0,NA,NA,10819.5,10819.5,0.0,1.0,10819.5,10819.5,0.0,0
8,6-Phosphogluconic acid,C6H13O10P,[M-H]-,14.0,17.0,15,0.2,275.0174,275.0165,-3.1,S07372,15.21,15.08,15.41,0.33,18003.5,18003.5,18003.5,24981.0,21723.0,18003.5,0,0,5589,0,8508,1910,0.15162549311661083,6.595197017634288,18003.5,21569.166666666668,-0.2606930351573084,0.8346868601012247,18003.5,19786.333333333336,0.0,2
9,Acetoacetic acid,C4H6O3,[M-H]-,8.3,10.3,15,0.2,101.0244,101.023,-14.0,S07375,9.94,9.74,10.12,0.39,79494.5,79494.5,79494.5,79494.5,79494.5,79494.5,22873,17356,25386,20772,27960,24642,NA,NA,79494.5,79494.5,0.0,1.0,79494.5,79494.5,0.0,0
10,Acetyl-CoA,C23H38N7O17P3S,[M+H]+,8.0,11.0,15,0.2,810.1331,810.1262,-8.5,S07374,9.74,9.65,9.88,0.23,17401.0,11045.0,15224.0,18906.0,29499.0,30943.0,0,0,2090,0,0,0,0.04818216921469458,20.754565771916727,14556.666666666666,26449.333333333332,-0.8615513286600558,0.5503604375661643,11045.0,20503.0,1.0,5
11,Acetylcysteine,C5H9NO3S,[M+H]+,6.0,8.0,15,0.2,164.0376,164.0374,-1.2,S07376,6.98,6.77,7.23,0.45,21346.0,21695.0,15965.0,39347.0,11684.0,19909.0,1612,1756,0,0,0,0,0.6608064395309825,1.5133024440708618,19668.666666666668,23646.666666666668,-0.2657376685082681,0.8317733295742882,11684.0,21657.666666666668,0.0,5
12,Adenine,C5H5N5,[M+H]+,5.0,7.0,15,0.2,136.0618,136.0614,-2.7,S07370,6.41,6.34,6.46,0.13,12926249.0,13067788.0,11609501.0,17976088.0,7658228.0,4812949.0,216293,65812,188670,71255,220672,135251,0.5853515987949192,1.7083749357800164,12534512.666666666,10149088.333333334,0.3045557666373107,1.235038286690118,458976.5,11341800.5,24.0,6
13,Adenosine,C10H13N5O4,[M+H]+,4.5,7.0,15,0.2,268.10400000000004,268.1033,-2.7,S07366,6.03,5.92,6.1,0.18,8448977.0,6862284.0,4104250.0,2715622.0,3329470.0,2435525.0,41513,25534,28949,33514,38527,53844,0.04824641140475551,20.72693016710944,6471837.0,2826872.3333333335,1.1949685425150243,2.2893984010833175,120940.5,4649354.666666667,221.0,6
14,Adenosine diphosphate ribose,C15H23N5O14P2,[M-H]-,10.9,12.9,15,0.2,558.0644,558.0624,-3.6,S07372,12.16,11.93,12.16,0.23,11035.5,11035.5,11035.5,15932.0,11035.5,11035.5,0,0,0,0,2071,0,0.37390096630005903,2.67450498963806,11035.5,12667.666666666666,-0.19899881312479314,0.8711549088229877,11035.5,11851.583333333332,0.0,1
15,Adenosine monophosphate,C10H14N5O7P,[M+H]+,9.8,11.8,15,0.2,348.0704,348.0678,-7.4,S07373,10.97,10.81,11.02,0.21,452717.0,481183.0,473935.0,543283.0,823875.0,569126.0,132590,31211,178244,67383,319356,102659,0.12176444167962149,8.212578205968649,469278.3333333333,645428.0,-0.45981231386440663,0.7270808414468125,425721.5,557353.1666666666,6.0,6
