,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T4,T5,T6,T7,T8,T9,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,Tom minus Dox_Mean,SG1 plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
27,CDP,C9H15N3O11P2,[M+H]+,13.0,15.0,15,0.2,404.0255,404.0258,0.8,S07377,14.44,14.34,14.66,0.32,31651.5,31651.5,31651.5,31651.5,31651.5,31651.5,2528,1427,11957,5467,14305,7619,NA,NA,31651.5,31651.5,0.0,1.0,31651.5,31651.5,0.0,0
28,Choline,C5H14NO,[Cat]+,11.0,15.0,15,0.2,104.10700000000001,104.1071,1.1,S07376,11.01,11.0,11.15,0.15,1394276.0,1286792.0,1736901.0,1610363.0,1142117.0,1749697.0,84213,19853,105521,17292,320653,15686,0.9081350585214013,1.1011577965376322,1472656.3333333333,1500725.6666666667,-0.027239480845049947,0.9812961596134491,291609.0,1486691.0,2.0,6
29,cis-Aconitic acid,C6H6O6,[M-H]-,14.1,16.1,15,0.2,173.0092,173.0081,-6.1,S07377,15.25,15.12,15.28,0.16,1677169.0,2315418.0,2111222.0,3227532.0,2875767.0,2384757.0,101856,32712,493736,87525,777404,103227,0.061549364204853435,16.24712152463056,2034603.0,2829352.0,-0.47572435631518584,0.7191056468053463,808230.0,2431977.5,55.0,6
30,Citric acid,C6H8O7,[M-H]-,14.2,16.2,15,0.2,191.0197,191.0188,-4.9,S07377,15.51,15.47,15.58,0.11,4222080.5,4390333.0,5689788.0,10219116.0,8156070.0,7031892.0,1971576,958014,1945152,776307,2055455,717657,0.02375778086675252,42.09147334124272,4767400.5,8469026.0,-0.8289932301148156,0.5629219345884638,4222080.5,6618213.25,495.0,5
31,Citrulline,C6H13N3O3,[M+H]+,10.9,12.9,15,0.2,176.10299999999998,176.1026,-2.1,S07377,12.31,12.21,12.36,0.15,138369.0,138369.0,138369.0,209622.0,252183.0,218097.0,26245,27566,37109,27048,113805,24965,0.0024618819244589876,406.193323109822,138369.0,226634.0,-0.7118435530753204,0.6105394600986612,138369.0,182501.5,121.0,3
32,Creatine,C4H9N3O2,[M+H]+,10.0,11.5,15,0.2,132.0768,132.0764,-2.7,S07376,11.12,11.02,11.12,0.1,320824960.0,326779712.0,322783104.0,475977472.0,436667424.0,420509664.0,7687539,143192,14419734,695502,22296378,879882,0.0018718675928679756,534.2258201435355,323462592.0,444384853.3333333,-0.45821076773996294,0.7278884272803298,23071113.5,383923722.6666666,281777.0,6
33,Creatinine,C4H7N3O,[M+H]+,5.2,7.2,15,0.2,114.0662,114.0661,-0.8,S07377,6.7,6.59,6.72,0.12,2776357.0,4311767.0,2453912.0,4621546.0,3659462.0,3592939.0,83253,39894,289210,82828,461983,125217,0.3057989189110792,3.270122744582959,3180678.6666666665,3957982.3333333335,-0.31543054427108147,0.8036111328440323,551192.5,3569330.5,15.0,6
34,Cyclic AMP,C10H12N5O6P,[M-H]-,5.8,7.8,15,0.2,328.0452,328.0435,-5.3,S07372,6.95,6.81,7.01,0.2,19905.0,22570.0,13473.0,29634.0,27878.0,20443.0,0,0,0,1494,2096,2269,0.13328734763494565,7.502587587974608,18649.333333333332,25985.0,-0.47855500031536286,0.7176961067282406,12929.5,22317.166666666664,0.0,6
35,Cytidine,C9H13N3O5,[M+H]+,7.1,9.1,15,0.2,244.0928,244.0928,0.0,S07377,8.56,8.42,8.74,0.32,73204.0,70083.0,41634.0,33427.0,35297.0,32547.0,13337,4179,2117,3018,3077,3107,0.050475067299029605,19.811761598567006,61640.333333333336,33757.0,0.868687966781833,1.8260015206722557,24417.5,47698.66666666667,2.0,6
36,Cytidine monophosphate,C9H14N3O8P,[M+H]+,11.8,13.8,15,0.2,324.0591,324.0568,-7.2,S07377,12.55,12.49,12.58,0.09,50889.0,65705.0,49911.0,66074.0,53698.0,63116.0,2421,0,3386,0,4464,0,0.4367412977412547,2.2896850038496823,55501.666666666664,60962.666666666664,-0.1353949164825571,0.9104205852762346,15135.5,58232.166666666664,0.0,6
37,Cytidine triphosphate,C9H16N3O14P3,[M-H]-,15.0,20.0,15,0.2,481.9772,481.9758,-3.0,S07377,16.01,16.01,16.26,0.25,19410.5,19410.5,33863.0,40793.0,25825.0,24262.0,0,0,6347,0,10475,1999,0.44343515848324233,2.2551211397410893,24228.0,30293.333333333332,-0.32232501761825877,0.7997799295774648,19410.5,27260.666666666664,0.0,4
38,Cytosine,C4H5N3O,[M+H]+,9.0,11.0,15,0.2,112.0505,112.0506,0.5,S07372,9.46,9.3,9.69,0.39,63704.0,63704.0,63704.0,63704.0,63704.0,63704.0,15031,20593,21890,12642,21568,15684,NA,NA,63704.0,63704.0,0.0,1.0,63704.0,63704.0,0.0,0
39,D-2-Hydroxyglutaric acid,C5H8O5,[M-H]-,11.6,13.6,15,0.2,147.0299,147.0287,-8.2,S07375,12.49,12.39,12.51,0.12,6797754.0,7049616.0,6786256.0,5961808.0,5950060.0,6092754.0,120866,31243,146370,26647,440326,31345,0.0008430088799624362,1186.2271249676032,6877875.333333333,6001540.666666667,0.19663006097433136,1.1460182835274186,408398.5,6439708.0,8754.0,6
40,D-Glucose,C6H12O6,[M-H]-,9.0,11.0,15,0.2,179.0561,179.055,-6.2,S07371,11.02,10.79,11.03,0.24,2527473.0,2747046.0,3183276.0,2492313.0,2135621.0,1957747.0,80552,14368,70116,13938,150197,13168,0.06610466651852903,15.12752506995405,2819265.0,2195227.0,0.3609489610006085,1.2842703738611088,181169.5,2507246.0,49.0,6
41,D-Glyceraldehyde 3-phosphate,C3H7O6P,[M-H]-,13.0,14.0,15,0.2,168.9908,168.9898,-5.6,S07377,13.46,13.36,13.5,0.14,172724.5,197708.0,234342.0,392539.0,312391.0,297396.0,22965,5762,87834,30998,145307,32583,0.018497928352571524,54.06010775584949,201591.5,334108.6666666667,-0.7288825965438206,0.6033710589169591,172724.5,267850.0833333334,24.0,5
42,Dihydrofolic acid,C19H21N7O6,[M+H]+,13.0,16.0,15,0.2,444.1626,444.162,-1.4,S07371,14.95,14.75,15.2,0.45,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
43,Dihydroxyacetone phosphate,C3H7O6P,[M-H]-,12.0,13.0,15,0.2,168.9908,168.9897,-6.2,S07377,12.56,12.49,12.56,0.07,788205.0,1093515.0,1155034.0,1914191.0,1652498.0,1600218.0,26406,2347,96241,9628,144349,14093,0.008937297568539082,111.89064617476566,1012251.3333333334,1722302.3333333333,-0.7667708726448176,0.5877314997154004,156532.0,1367276.8333333333,260.0,6
44,D-Ribose 5-phosphate,C5H11O8P,[M-H]-,12.4,13.8,15,0.2,229.0119,229.0111,-3.4,S07377,12.88,12.72,12.95,0.23,106542.0,142923.0,140781.0,234026.0,192348.0,158084.0,8960,0,25078,6862,31708,7063,0.060191539382574794,16.613630590904872,130082.0,194819.33333333334,-0.5827155095883925,0.6677058060630533,49835.5,162450.6666666667,4.0,6
45,D-Sedoheptulose 7-phosphate,C7H15O10P,[M-H]-,12.2,14.2,15,0.2,289.033,289.0322,-2.8,S07372,13.49,13.34,13.52,0.19,110520.0,152318.0,145005.0,235320.0,202761.0,163631.0,14699,2313,32436,8124,29695,8868,0.05710042724784917,17.513003810977047,135947.66666666666,200570.66666666666,-0.5610592382127914,0.6778043316403861,58067.5,168259.16666666666,4.0,6
46,dTDP,C10H16N2O11P2,[M-H]-,11.0,13.0,15,0.2,401.0157,401.0153,-0.9,S07372,12.03,11.91,12.27,0.36,14491.5,14491.5,14491.5,14491.5,14491.5,14491.5,0,0,3171,1890,2636,1286,NA,NA,14491.5,14491.5,0.0,1.0,14491.5,14491.5,0.0,0
47,FAD,C27H33N9O15P2,[M+H]+,7.6,9.6,15,0.2,786.1644,786.1618,-3.3,S07376,8.94,8.74,9.03,0.28,15652.0,19222.0,19317.0,24386.0,28765.0,19786.0,0,0,0,0,2140,0,0.09416342506630769,10.61983460452743,18063.666666666668,24312.333333333332,-0.42859759106582956,0.7429836708392175,11070.0,21188.0,0.0,6
48,Folic acid,C19H19N7O6,[M+H]+,13.0,16.0,15,0.2,442.147,442.1427,-9.6,S07377,14.15,14.1,14.19,0.09,15109.0,14017.0,19488.0,16898.0,13863.0,13351.5,1468,0,0,0,5235,0,0.4958070371665975,2.0169136882661616,16204.666666666666,14704.166666666666,0.1401843201427823,1.1020459053556249,13351.5,15454.416666666666,0.0,5
49,"Fructose 1,6-bisphosphate",C6H14O12P2,[M-H]-,14.1,16.1,15,0.2,338.9888,338.98800000000006,-2.3,S07377,15.88,15.65,16.09,0.44,79099.0,79099.0,90998.0,217003.0,180852.0,175750.0,9799,1243,42512,2408,71315,10921,0.0013462733984791946,742.7911753508914,83065.33333333333,191201.66666666666,-1.2027766888263094,0.4344383329991893,79099.0,137133.5,234.0,4
50,Fructose 6-phosphate,C6H13O9P,[M-H]-,12.6,13.5,15,0.2,259.0224,259.0219,-2.1,S07377,13.11,13.03,13.15,0.11,646604.0,864267.0,960605.0,1204017.0,993032.0,983303.0,56547,14914,150921,31135,173843,35610,0.11470373919274986,8.718111606802854,823825.3333333334,1060117.3333333333,-0.3638135543892081,0.7771076912241162,241485.0,941971.3333333333,11.0,6
51,Fumaric acid,C4H4O4,[M-H]-,12.2,14.2,15,0.2,115.0037,115.0023,-12.0,S07372,13.29,13.22,13.32,0.1,4619272.0,4718476.0,5153442.0,6962908.0,5884811.0,6007429.0,221901,52502,409013,62272,415041,54157,0.018361325932385483,54.46229774921713,4830396.666666667,6285049.333333333,-0.37978240246082634,0.7685535006142621,617443.0,5557723.0,394.0,6
52,Glucose 6-phosphate,C6H13O9P,[M-H]-,13.6,14.4,15,0.2,259.0224,259.022,-1.7,S07372,14.02,13.93,14.05,0.12,890410.0,1131005.0,1300567.0,1638432.0,1391871.0,1312582.0,210873,61960,281482,55783,287176,55669,0.0919781689944437,10.872145107176562,1107327.3333333333,1447628.3333333333,-0.3866094944506701,0.7649251591971696,486471.5,1277477.8333333333,18.0,6
53,Glutathione,C10H17N3O6S,[M+H]+,10.0,13.0,15,0.2,308.0911,308.0898,-4.2,S07376,11.49,11.42,11.56,0.14,1058536.0,15347832.0,12996323.0,25024554.0,18519450.0,25262016.0,78501,25380,255689,111139,742720,317138,0.05660287525259462,17.666947050612254,9800897.0,22935340.0,-1.226586595441916,0.4273273036283744,775283.5,16368118.5,677.0,6
54,Glycerol 3-phosphate,C3H9O6P,[M-H]-,11.5,13.0,15,0.2,171.0064,171.0053,-6.4,S07377,12.16,12.08,12.2,0.12,2651829.0,3835649.0,3659324.0,9144658.0,7968400.0,7068286.0,218336,40578,1100034,155288,1346744,166631,0.002679855237586615,373.1544846058795,3382267.3333333335,8060448.0,-1.2528693316144066,0.41961282218225754,1523805.5,5721357.666666667,5088.0,6
55,Glycine,C2H5NO2,[M+H]+,10.7,12.7,15,0.2,76.0393,76.0398,6.5,S07375,12.06,11.99,12.09,0.1,26015710.5,26015710.5,26015710.5,29594324.0,26035242.0,26836738.0,9367796,7818770,9372741,7572957,9764687,8114470,0.24352863030431005,4.106293369902396,26015710.5,27488768.0,-0.079459140691574,0.94641238559691,26015710.5,26752239.25,116.0,3
56,Guanidoacetic acid,C3H7N3O2,[M+H]+,10.7,12.7,15,0.2,118.0611,118.061,-0.9,S07377,12.15,12.07,12.15,0.08,84537864.0,81432536.0,89170800.0,197365328.0,166207856.0,188081792.0,5086456,8271,10885688,27557,18569598,31927,0.00048313190267870135,2069.828124484325,85047066.66666667,183884992.0,-1.1124703549332324,0.46250140232578996,17314748.5,134466029.33333334,601775.0,6
57,Guanine,C5H5N5O,[M+H]+,7.7,9.7,15,0.2,152.0567,152.0565,-1.2,S07369,8.83,8.76,9.04,0.28,127172.0,101604.0,30493.0,50461.0,36596.0,30493.0,12236,8173,3153,5874,7845,3705,0.1847902117468999,5.411542042982568,86423.0,39183.333333333336,1.1411751788860052,2.2056061250531687,30493.0,62803.16666666667,1.0,4
58,Guanosine,C10H13N5O5,[M+H]+,7.7,9.7,15,0.2,284.0989,284.0986,-1.2,S07377,9.13,8.88,9.26,0.37,19383.0,19002.0,19073.0,18924.0,18163.5,18163.5,11705,2703,0,0,0,1919,0.05788076275520146,17.276897407682053,19152.666666666668,18417.0,0.05650719997160682,1.0399449783714323,18163.5,18784.833333333336,0.0,4
