,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T10,T11,T12,T7,T8,T9,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 minus Dox_Mean,SG1 plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
55,Glycine,C2H5NO2,[M+H]+,10.7,12.7,15,0.2,76.0393,76.0398,6.5,S07375,12.06,11.99,12.09,0.1,31660872.0,31170146.0,30589832.0,29594324.0,26035242.0,26836738.0,9367796,7818770,9372741,7572957,9764687,8114470,0.031198013905436535,32.05332246568879,31140283.333333332,27488768.0,0.1799398218452447,1.1328366310681268,26015710.5,29314525.666666664,1064.0,6
56,Guanidoacetic acid,C3H7N3O2,[M+H]+,10.7,12.7,15,0.2,118.0611,118.061,-0.9,S07377,12.15,12.07,12.15,0.08,250638256.0,242718336.0,252117056.0,197365328.0,166207856.0,188081792.0,5086456,8271,10885688,27557,18569598,31927,0.002625312323697784,380.9070604565204,248491216.0,183884992.0,0.4343911171514022,1.3513403856253805,17314748.5,216188104.0,111280.0,6
57,Guanine,C5H5N5O,[M+H]+,7.7,9.7,15,0.2,152.0567,152.0565,-1.2,S07369,8.83,8.76,9.04,0.28,43937.0,60648.0,57032.0,50461.0,36596.0,30493.0,12236,8173,3153,5874,7845,3705,0.13237916248979043,7.5540589711551,53872.333333333336,39183.333333333336,0.45930441977793157,1.3748787749893663,30493.0,46527.833333333336,0.0,5
58,Guanosine,C10H13N5O5,[M+H]+,7.7,9.7,15,0.2,284.0989,284.0986,-1.2,S07377,9.13,8.88,9.26,0.37,35486.0,52039.0,77578.0,18924.0,18163.5,18163.5,11705,2703,0,0,0,1919,0.040327304146822,24.797095197815377,55034.333333333336,18417.0,1.579293853436251,2.9882355070496462,18163.5,36725.66666666667,3.0,4
59,Guanosine diphosphate,C10H15N5O11P2,[M-H]-,13.8,15.8,15,0.2,442.0171,442.0167,-0.8,S07377,15.44,15.28,15.52,0.24,27276.5,27276.5,30146.0,27276.5,27276.5,27276.5,1661,1230,8327,2244,15356,5735,0.373900966300059,2.67450498963806,28233.0,27276.5,0.049723899753768425,1.0350668157571536,27276.5,27754.75,0.0,1
60,Guanosine monophosphate,C10H14N5O8P,[M+H]+,12.6,14.6,15,0.2,364.0653,364.06300000000005,-6.3,SQ437_B_0,13.81,13.78,13.93,0.14,70849.0,70849.0,70849.0,70849.0,70849.0,70849.0,71888,24110,8437,7448,7137,2678,NA,NA,70849.0,70849.0,0.0,1.0,70849.0,70849.0,0.0,0
61,Guanosine triphosphate,C10H16N5O14P3,[M-H]-,15.0,17.0,15,0.2,521.9834,521.9832,-0.4,S07377,16.99,16.91,16.99,0.08,10000.0,10000.0,10130.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.3739009663000528,2.6745049896381046,10043.333333333334,10000.0,0.0062381722112198786,1.0043333333333333,10000.0,10021.666666666668,0.0,1
62,Homocysteine,C4H9NO2S,[M-H]-,7.3,9.3,15,0.2,134.0281,134.0299,13.2,S07377,7.31,7.26,7.5,0.24,13124.5,13124.5,27179.0,21242.0,21548.0,13124.5,1432,0,1800,1538,0,1479,0.8862075832235581,1.1284037949241248,17809.333333333332,18638.166666666668,-0.065626444796671,0.9555303186114513,13124.5,18223.75,0.0,3
63,Hypotaurine,C2H7NO2S,[M+H]+,10.0,12.0,15,0.2,110.027,110.027,-0.2,S07376,11.44,11.28,11.45,0.18,4562842.0,5235412.0,5045578.0,2636384.0,2429232.0,2362514.0,29289,0,43388,0,44811,0,0.00033578267531194245,2978.116721093484,4947944.0,2476043.3333333335,0.9987926087895839,1.9983269005792843,68744.0,3711993.666666667,22091.0,6
64,Hypoxanthine,C5H4N4O,[M+H]+,5.8,7.8,15,0.2,137.0458,137.0455,-2.1,S07377,7.77,7.54,7.77,0.23,60693.0,92613.0,178694.0,43816.0,57253.0,30169.0,3061,2247,2518,2414,2860,1864,0.13736242841445234,7.280011073936334,110666.66666666667,43746.0,1.3389977283702794,2.5297551014187967,17482.0,77206.33333333334,1.0,6
65,Inosine,C10H12N4O5,[M+H]+,6.4,8.4,15,0.2,269.08799999999997,269.0862,-6.9,S07370,7.84,7.64,7.97,0.33,55767.0,67328.0,88039.0,22853.0,23764.0,23228.0,0,0,0,0,0,0,0.007559700588367814,132.2803712013026,70378.0,23281.666666666668,1.5959301759269346,3.0228935500035794,10000.0,46829.833333333336,19.0,6
66,Inosinic acid,C10H13N4O8P,[M+H]+,11.4,13.4,15,0.2,349.0544,349.0515,-8.3,S07370,12.62,12.59,12.8,0.21,10999.0,10999.0,10999.0,10999.0,10999.0,10999.0,0,0,1998,0,0,0,NA,NA,10999.0,10999.0,0.0,1.0,10999.0,10999.0,0.0,0
67,L-Acetylcarnitine,C9H17NO4,[M+H]+,6.3,8.3,15,0.2,204.123,204.1224,-3.1,S07377,7.79,7.56,7.92,0.36,4813509.0,5125000.0,5831314.0,2663893.0,1919473.0,2235348.0,16322,15263,10794,10643,11906,10072,0.001289508217303244,775.4894358806847,5256607.666666667,2272904.6666666665,1.2095948877215985,2.312726857293032,47500.0,3764756.166666667,6752.0,6
68,L-Alanine,C3H7NO2,[M+H]+,10.6,11.2,15,0.2,90.055,90.0552,2.7,S07372,11.19,11.09,11.2,0.11,171055392.0,160021264.0,175485456.0,389069248.0,350296384.0,357618624.0,12573427,165430,20016368,252924,8759799,239814,0.00010282856585959117,9724.92411656762,168854037.33333334,365661418.6666667,-1.1147317395081429,0.46177701204856675,21013881.0,267257728.0,5628390.0,6
69,L-Arginine,C6H14N4O2,[M+H]+,18.5,21.0,15,0.2,175.11900000000003,175.1185,-2.6,S07377,20.39,20.32,20.55,0.23,21118804.0,22068992.0,27352140.0,23442052.0,22575298.0,22550128.0,10102375,2756652,9274954,2318849,10815290,2617241,0.7542546120023944,1.3258122444159817,23513312.0,22855826.0,0.040915807824506246,1.028766669819765,18952680.5,23184569.0,32.0,6
