,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T10,T11,T12,T4,T5,T6,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 minus Dox_Mean,Tom minus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
10,Acetyl-CoA,C23H38N7O17P3S,[M+H]+,8.0,11.0,15,0.2,810.1331,810.1262,-8.5,S07374,9.74,9.65,9.88,0.23,11045.0,11045.0,11045.0,16873.0,11045.0,11045.0,0,0,2090,0,0,0,0.37390096630005903,2.67450498963806,11045.0,12987.666666666666,-0.23374884420959452,0.850422195416164,11045.0,12016.333333333332,0.0,1
11,Acetylcysteine,C5H9NO3S,[M+H]+,6.0,8.0,15,0.2,164.0376,164.0374,-1.2,S07376,6.98,6.77,7.23,0.45,19859.0,39754.0,33955.0,30226.0,36033.0,28530.0,1612,1756,0,0,0,0,0.9518117057494412,1.0506279697543919,31189.333333333332,31596.333333333332,-0.01870443168438305,0.9871187585057338,11684.0,31392.833333333332,0.0,6
12,Adenine,C5H5N5,[M+H]+,5.0,7.0,15,0.2,136.0618,136.0614,-2.7,S07370,6.41,6.34,6.46,0.13,7323326.0,12328012.0,12442605.0,16554408.0,18198726.0,8943207.0,216293,65812,188670,71255,220672,135251,0.30790444072229484,3.247760888586599,10697981.0,14565447.0,-0.44521143060395346,0.7344766693394305,458976.5,12631714.0,56.0,6
13,Adenosine,C10H13N5O4,[M+H]+,4.5,7.0,15,0.2,268.10400000000004,268.1033,-2.7,S07366,6.03,5.92,6.1,0.18,2504068.0,4899182.0,4408412.0,5891624.0,4849338.0,2920210.0,41513,25534,28949,33514,38527,53844,0.6162517545382789,1.6227134326769441,3937220.6666666665,4553724.0,-0.20986928027390056,0.8646155688545609,120940.5,4245472.333333333,8.0,6
14,Adenosine diphosphate ribose,C15H23N5O14P2,[M-H]-,10.9,12.9,15,0.2,558.0644,558.0624,-3.6,S07372,12.16,11.93,12.16,0.23,11035.5,11035.5,11035.5,11035.5,11035.5,11035.5,0,0,0,0,2071,0,NA,NA,11035.5,11035.5,0.0,1.0,11035.5,11035.5,0.0,0
15,Adenosine monophosphate,C10H14N5O7P,[M+H]+,9.8,11.8,15,0.2,348.0704,348.0678,-7.4,S07373,10.97,10.81,11.02,0.21,482972.0,685039.0,668916.0,492704.0,527928.0,510543.0,132590,31211,178244,67383,319356,102659,0.19539369096728065,5.11787251189934,612309.0,510391.6666666667,0.2626551147079318,1.1996845559782519,425721.5,561350.3333333334,3.0,6
16,Adenosine triphosphate,C10H16N5O13P3,[M-H]-,12.5,14.5,15,0.2,505.9885,505.98800000000006,-0.9,S07372,14.02,14.01,14.27,0.26,693843.0,1082941.0,1832475.0,315611.0,504461.0,917507.0,20845,2030,188101,32227,306229,61790,0.17459788465937567,5.727446251430294,1203086.3333333333,579193.0,1.0546241023124547,2.0771769226032313,315611.0,891139.6666666666,11.0,5
17,Adenylsuccinic acid,C14H18N5O11P,[M-H]-,14.5,16.5,15,0.2,462.0668,462.0672,0.9,S07377,15.75,15.7,15.87,0.17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
18,ADP,C10H15N5O10P2,[M-H]-,11.1,13.1,15,0.2,426.0221,426.0215,-1.5,S07377,12.54,12.44,12.61,0.18,526830.0,731265.0,1076431.0,526830.0,526830.0,530238.0,42121,24985,257624,98414,450406,160110,0.19376110427253038,5.160994533729908,778175.3333333334,527966.0,0.5596502245922708,1.473911830180984,526830.0,653070.6666666667,5.0,3
19,Allantoin,C4H6N4O3,[M-H]-,9.3,11.3,15,0.2,157.0367,157.0356,-7.1,S07370,10.31,10.11,10.41,0.3,10000.0,10000.0,10816.0,10000.0,12758.0,10000.0,0,0,0,0,0,0,0.5365670737156318,1.8636998969675447,10272.0,10919.333333333334,-0.08816766937593791,0.94071677147567,10000.0,10595.666666666668,0.0,2
20,Aminoadipic acid,C6H11NO4,[M-H]-,5.9,7.9,15,0.2,160.0615,160.0603,-7.7,S07377,6.92,6.77,7.08,0.31,1173831.0,1305643.0,1393893.0,688336.0,621874.0,730578.0,1763,1859,4351,2345,2424,1782,0.001021444097203278,979.0060980703769,1291122.3333333333,680262.6666666666,0.9244618817169472,1.897976173909294,17262.0,985692.5,1832.0,6
21,Argininosuccinic acid,C10H18N4O6,[M-H]-,12.5,14.5,15,0.2,289.1154,289.1144,-3.3,S07367,13.83,13.69,14.02,0.33,12267.0,12267.0,12267.0,12267.0,12267.0,12267.0,1540,0,1832,0,1162,0,NA,NA,12267.0,12267.0,0.0,1.0,12267.0,12267.0,0.0,0
22,Beta-Alanine,C3H7NO2,[M+H]+,9.8,10.5,15,0.2,90.055,90.0553,3.8,S07377,10.48,10.24,10.49,0.25,236384.0,198939.0,274170.0,178381.0,178381.0,178381.0,39023,27089,90703,46847,74594,58506,0.055456267838813834,18.032226815308697,236497.66666666666,178381.0,0.4068639928977514,1.3258007672715517,178381.0,207439.3333333333,5.0,3
23,Betaine,C5H11NO2,[M+H]+,7.0,8.2,15,0.2,118.0863,118.0861,-1.3,S07376,8.04,8.0,8.1,0.1,4489595.0,4825078.0,4824246.0,4315232.0,4630938.0,4650396.0,383751,385142,413825,385400,437101,433375,0.3104376139355381,3.2212591358457243,4712973.0,4532188.666666667,0.056429497221708466,1.0398889690235018,1229297.0,4622580.833333334,15.0,6
24,Butyrylcarnitine,C11H21NO4,[M+H]+,4.2,6.2,15,0.2,232.1543,232.1536,-3.2,S07377,5.86,5.65,5.97,0.31,2409055.0,2814084.0,3011974.0,1232902.0,1176140.0,1418194.0,3318,2851,5701,2450,2885,5608,0.001563800726347151,639.4676656378583,2745037.6666666665,1275745.3333333333,1.1054855812739381,2.151712881045224,21406.5,2010391.5,2766.0,6
25,Carbamoyl phosphate,CH4NO5P,[M-H]-,27.0,30.0,15,0.2,139.9754,139.9742,-8.8,S07377,27.87,27.84,28.12,0.28,8242906.0,8334318.0,8563056.0,5833046.0,6249730.0,6226578.0,632114,32535,1166884,41117,952212,28699,0.00016119148811111488,6203.801526484236,8380093.333333333,6103118.0,0.4574198277431798,1.3730839438682545,1436780.5,7241605.666666666,61686.0,6
26,Carnosine,C9H14N4O3,[M+H]+,10.6,12.6,15,0.2,227.1139,227.1108,-13.5,S07375,10.67,10.67,10.67,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
27,CDP,C9H15N3O11P2,[M+H]+,13.0,15.0,15,0.2,404.0255,404.0258,0.8,S07377,14.44,14.34,14.66,0.32,31651.5,31651.5,31651.5,31651.5,31651.5,31651.5,2528,1427,11957,5467,14305,7619,NA,NA,31651.5,31651.5,0.0,1.0,31651.5,31651.5,0.0,0
28,Choline,C5H14NO,[Cat]+,11.0,15.0,15,0.2,104.10700000000001,104.1071,1.1,S07376,11.01,11.0,11.15,0.15,2276984.0,2875430.0,2604378.0,1394276.0,1286792.0,1736901.0,84213,19853,105521,17292,320653,15686,0.007173838219432638,139.39539329046755,2585597.3333333335,1472656.3333333333,0.8120768203669468,1.755737081903472,291609.0,2029126.8333333335,497.0,6
29,cis-Aconitic acid,C6H6O6,[M-H]-,14.1,16.1,15,0.2,173.0092,173.0081,-6.1,S07377,15.25,15.12,15.28,0.16,2551038.0,3516876.0,4647682.0,1677169.0,2315418.0,2111222.0,101856,32712,493736,87525,777404,103227,0.0725215601593539,13.789002853808833,3571865.3333333335,2034603.0,0.8119303714784497,1.7555588649644838,808230.0,2803234.166666667,68.0,6
30,Citric acid,C6H8O7,[M-H]-,14.2,16.2,15,0.2,191.0197,191.0188,-4.9,S07377,15.51,15.47,15.58,0.11,6483171.0,8857884.0,13614272.0,4222080.5,4390333.0,5689788.0,1971576,958014,1945152,776307,2055455,717657,0.08527484202654802,11.726788068263756,9651775.666666666,4767400.5,1.0175915553243837,2.0245363624614012,4222080.5,7209588.083333333,171.0,5
31,Citrulline,C6H13N3O3,[M+H]+,10.9,12.9,15,0.2,176.10299999999998,176.1026,-2.1,S07377,12.31,12.21,12.36,0.15,138369.0,138369.0,2219632.0,138369.0,138369.0,138369.0,26245,27566,37109,27048,113805,24965,0.3739009663000589,2.6745049896380606,832123.3333333334,138369.0,2.588276613792545,6.013798851862291,138369.0,485246.1666666667,8.0,1
32,Creatine,C4H9N3O2,[M+H]+,10.0,11.5,15,0.2,132.0768,132.0764,-2.7,S07376,11.12,11.02,11.12,0.1,505485984.0,569474752.0,568118976.0,320824960.0,326779712.0,322783104.0,7687539,143192,14419734,695502,22296378,879882,0.0004504682005748407,2219.9125237339817,547693237.3333334,323462592.0,0.7597691905502291,1.693219713435467,23071113.5,435577914.6666667,1637250.0,6
33,Creatinine,C4H7N3O,[M+H]+,5.2,7.2,15,0.2,114.0662,114.0661,-0.8,S07377,6.7,6.59,6.72,0.12,5055950.0,7109996.0,7234703.0,2776357.0,4311767.0,2453912.0,83253,39894,289210,82828,461983,125217,0.022505382307586547,44.43381526839919,6466883.0,3180678.6666666665,1.0237358805441183,2.033177091346124,551192.5,4823780.833333333,436.0,6
34,Cyclic AMP,C10H12N5O6P,[M-H]-,5.8,7.8,15,0.2,328.0452,328.0435,-5.3,S07372,6.95,6.81,7.01,0.2,19952.0,24411.0,25621.0,19905.0,22570.0,13473.0,0,0,0,1494,2096,2269,0.2179332699789549,4.588560526332518,23328.0,18649.333333333332,0.3229385660870351,1.2508758132551656,12929.5,20988.666666666664,0.0,6
35,Cytidine,C9H13N3O5,[M+H]+,7.1,9.1,15,0.2,244.0928,244.0928,0.0,S07377,8.56,8.42,8.74,0.32,76044.0,92407.0,95930.0,73204.0,70083.0,41634.0,13337,4179,2117,3018,3077,3107,0.08751323579282243,11.426842933420787,88127.0,61640.333333333336,0.515709430485476,1.4296970057484006,24417.5,74883.66666666667,1.0,6
36,Cytidine monophosphate,C9H14N3O8P,[M+H]+,11.8,13.8,15,0.2,324.0591,324.0568,-7.2,S07377,12.55,12.49,12.58,0.09,57199.0,71906.0,87406.0,50889.0,65705.0,49911.0,2421,0,3386,0,4464,0,0.17446632966315528,5.731764988297253,72170.33333333333,55501.666666666664,0.3788748231712466,1.300327317497973,15135.5,63836.0,0.0,6
37,Cytidine triphosphate,C9H16N3O14P3,[M-H]-,15.0,20.0,15,0.2,481.9772,481.9758,-3.0,S07377,16.01,16.01,16.26,0.25,19410.5,25898.0,45674.0,19410.5,19410.5,33863.0,0,0,6347,0,10475,1999,0.5457371281843849,1.8323840331826131,30327.5,24228.0,0.3239512600525067,1.2517541687303946,19410.5,27277.75,0.0,3
38,Cytosine,C4H5N3O,[M+H]+,9.0,11.0,15,0.2,112.0505,112.0506,0.5,S07372,9.46,9.3,9.69,0.39,63704.0,63704.0,63704.0,63704.0,63704.0,63704.0,15031,20593,21890,12642,21568,15684,NA,NA,63704.0,63704.0,0.0,1.0,63704.0,63704.0,0.0,0
39,D-2-Hydroxyglutaric acid,C5H8O5,[M-H]-,11.6,13.6,15,0.2,147.0299,147.0287,-8.2,S07375,12.49,12.39,12.51,0.12,11284824.0,10853773.0,10390342.0,6797754.0,7049616.0,6786256.0,120866,31243,146370,26647,440326,31345,0.00012915599088453699,7742.575417147944,10842979.666666666,6877875.333333333,0.6567263946006807,1.5765013381554944,408398.5,8860427.5,108152.0,6
40,D-Glucose,C6H12O6,[M-H]-,9.0,11.0,15,0.2,179.0561,179.055,-6.2,S07371,11.02,10.79,11.03,0.24,1922864.0,2256011.0,2971726.0,2527473.0,2747046.0,3183276.0,80552,14368,70116,13938,150197,13168,0.29798636626223646,3.355858231178173,2383533.6666666665,2819265.0,-0.242217088865741,0.8454450598530704,181169.5,2601399.333333333,10.0,6
41,D-Glyceraldehyde 3-phosphate,C3H7O6P,[M-H]-,13.0,14.0,15,0.2,168.9908,168.9898,-5.6,S07377,13.46,13.36,13.5,0.14,310232.0,379480.0,553096.0,172724.5,197708.0,234342.0,22965,5762,87834,30998,145307,32583,0.046027124719864435,21.726319123480224,414269.3333333333,201591.5,1.039134217809043,2.054994051501841,172724.5,307930.4166666666,14.0,5
42,Dihydrofolic acid,C19H21N7O6,[M+H]+,13.0,16.0,15,0.2,444.1626,444.162,-1.4,S07371,14.95,14.75,15.2,0.45,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
43,Dihydroxyacetone phosphate,C3H7O6P,[M-H]-,12.0,13.0,15,0.2,168.9908,168.9897,-6.2,S07377,12.56,12.49,12.56,0.07,1791602.0,2494593.0,2730365.0,788205.0,1093515.0,1155034.0,26406,2347,96241,9628,144349,14093,0.012015396243319189,83.22655197959209,2338853.3333333335,1012251.3333333334,1.2082338515362794,2.310546063329463,156532.0,1675552.3333333335,322.0,6
44,D-Ribose 5-phosphate,C5H11O8P,[M-H]-,12.4,13.8,15,0.2,229.0119,229.0111,-3.4,S07377,12.88,12.72,12.95,0.23,212883.0,291000.0,344837.0,106542.0,142923.0,140781.0,8960,0,25078,6862,31708,7063,0.018889109541175016,52.94055804060915,282906.6666666667,130082.0,1.120904830082704,2.1748333102709574,49835.5,206494.33333333334,24.0,6
45,D-Sedoheptulose 7-phosphate,C7H15O10P,[M-H]-,12.2,14.2,15,0.2,289.033,289.0322,-2.8,S07372,13.49,13.34,13.52,0.19,155211.0,233039.0,219087.0,110520.0,152318.0,145005.0,14699,2313,32436,8124,29695,8868,0.07087508136818398,14.109331244435126,202445.66666666666,135947.66666666666,0.5744833726467002,1.4891441069234976,58067.5,169196.66666666666,4.0,6
46,dTDP,C10H16N2O11P2,[M-H]-,11.0,13.0,15,0.2,401.0157,401.0153,-0.9,S07372,12.03,11.91,12.27,0.36,14491.5,14491.5,14491.5,14491.5,14491.5,14491.5,0,0,3171,1890,2636,1286,NA,NA,14491.5,14491.5,0.0,1.0,14491.5,14491.5,0.0,0
47,FAD,C27H33N9O15P2,[M+H]+,7.6,9.6,15,0.2,786.1644,786.1618,-3.3,S07376,8.94,8.74,9.03,0.28,21966.0,33863.0,31756.0,15652.0,19222.0,19317.0,0,0,0,0,2140,0,0.044798269628934885,22.32229075549175,29195.0,18063.666666666668,0.6926305420715911,1.616227786901884,11070.0,23629.333333333336,1.0,6
48,Folic acid,C19H19N7O6,[M+H]+,13.0,16.0,15,0.2,442.147,442.1427,-9.6,S07377,14.15,14.1,14.19,0.09,14529.0,20255.0,32408.0,15109.0,14017.0,19488.0,1468,0,0,0,5235,0,0.3254760564515466,3.0724226258064835,22397.333333333332,16204.666666666666,0.4669176282226338,1.3821532891759576,13351.5,19301.0,0.0,6
49,"Fructose 1,6-bisphosphate",C6H14O12P2,[M-H]-,14.1,16.1,15,0.2,338.9888,338.98800000000006,-2.3,S07377,15.88,15.65,16.09,0.44,107896.0,164016.0,342331.0,79099.0,79099.0,90998.0,9799,1243,42512,2408,71315,10921,0.16072912927172736,6.221647591392149,204747.66666666666,83065.33333333333,1.3015286005723417,2.464899115555627,79099.0,143906.5,2.0,4
50,Fructose 6-phosphate,C6H13O9P,[M-H]-,12.6,13.5,15,0.2,259.0224,259.0219,-2.1,S07377,13.11,13.03,13.15,0.11,823360.0,1114590.0,1321259.0,646604.0,864267.0,960605.0,56547,14914,150921,31135,173843,35610,0.20093889774004056,4.976637232745866,1086403.0,823825.3333333334,0.39914897246095554,1.3187297792897847,241485.0,955114.1666666667,6.0,6
51,Fumaric acid,C4H4O4,[M-H]-,12.2,14.2,15,0.2,115.0037,115.0023,-12.0,S07372,13.29,13.22,13.32,0.1,5179850.0,6072126.0,6601622.0,4619272.0,4718476.0,5153442.0,221901,52502,409013,62272,415041,54157,0.06589101476437821,15.176576101854433,5951199.333333333,4830396.666666667,0.3010387747779259,1.2320311858446407,617443.0,5390798.0,101.0,6
52,Glucose 6-phosphate,C6H13O9P,[M-H]-,13.6,14.4,15,0.2,259.0224,259.022,-1.7,S07372,14.02,13.93,14.05,0.12,1073545.0,1207325.0,1430320.0,890410.0,1131005.0,1300567.0,210873,61960,281482,55783,287176,55669,0.45789775855127623,2.183893634168157,1237063.3333333333,1107327.3333333333,0.15983760773901057,1.117161381368111,486471.5,1172195.3333333333,3.0,6
53,Glutathione,C10H17N3O6S,[M+H]+,10.0,13.0,15,0.2,308.0911,308.0898,-4.2,S07376,11.49,11.42,11.56,0.14,72834608.0,88092040.0,84400256.0,1058536.0,15347832.0,12996323.0,78501,25380,255689,111139,742720,317138,0.00035154847142728764,2844.5579522505036,81775634.66666667,9800897.0,3.0606853521550854,8.343688814061272,775283.5,45788265.833333336,1086744.0,6
54,Glycerol 3-phosphate,C3H9O6P,[M-H]-,11.5,13.0,15,0.2,171.0064,171.0053,-6.4,S07377,12.16,12.08,12.2,0.12,7610448.0,9646653.0,10459811.0,2651829.0,3835649.0,3659324.0,218336,40578,1100034,155288,1346744,166631,0.003174635859581957,314.99675686637084,9238970.666666666,3382267.3333333335,1.4497414324662683,2.7315908992803837,1523805.5,6310619.0,5430.0,6
55,Glycine,C2H5NO2,[M+H]+,10.7,12.7,15,0.2,76.0393,76.0398,6.5,S07375,12.06,11.99,12.09,0.1,31660872.0,31170146.0,30589832.0,26015710.5,26015710.5,26015710.5,9367796,7818770,9372741,7572957,9764687,8114470,7.796749905603964e-05,12825.857082849914,31140283.333333332,26015710.5,0.2593989625368188,1.1969799300054993,26015710.5,28577996.916666664,438738.0,3
56,Guanidoacetic acid,C3H7N3O2,[M+H]+,10.7,12.7,15,0.2,118.0611,118.061,-0.9,S07377,12.15,12.07,12.15,0.08,250638256.0,242718336.0,252117056.0,84537864.0,81432536.0,89170800.0,5086456,8271,10885688,27557,18569598,31927,1.5426884855680333e-06,648219.0081504303,248491216.0,85047066.66666667,1.5468614720846345,2.9218081909154616,17314748.5,166769141.33333334,315856019.0,6
57,Guanine,C5H5N5O,[M+H]+,7.7,9.7,15,0.2,152.0567,152.0565,-1.2,S07369,8.83,8.76,9.04,0.28,43937.0,60648.0,57032.0,127172.0,101604.0,30493.0,12236,8173,3153,5874,7845,3705,0.32980713180903265,3.0320751237696926,53872.333333333336,86423.0,-0.6818707591080736,0.6233564367510193,30493.0,70147.66666666667,0.0,5
58,Guanosine,C10H13N5O5,[M+H]+,7.7,9.7,15,0.2,284.0989,284.0986,-1.2,S07377,9.13,8.88,9.26,0.37,35486.0,52039.0,77578.0,19383.0,19002.0,19073.0,11705,2703,0,0,0,1919,0.042784383291595306,23.37301424177459,55034.333333333336,19152.666666666668,1.5227866534646446,2.873455393504821,18163.5,37093.5,2.0,6
59,Guanosine diphosphate,C10H15N5O11P2,[M-H]-,13.8,15.8,15,0.2,442.0171,442.0167,-0.8,S07377,15.44,15.28,15.52,0.24,27276.5,27276.5,30146.0,27276.5,27276.5,27276.5,1661,1230,8327,2244,15356,5735,0.373900966300059,2.67450498963806,28233.0,27276.5,0.049723899753768425,1.0350668157571536,27276.5,27754.75,0.0,1
60,Guanosine monophosphate,C10H14N5O8P,[M+H]+,12.6,14.6,15,0.2,364.0653,364.06300000000005,-6.3,SQ437_B_0,13.81,13.78,13.93,0.14,70849.0,70849.0,70849.0,70849.0,70849.0,70849.0,71888,24110,8437,7448,7137,2678,NA,NA,70849.0,70849.0,0.0,1.0,70849.0,70849.0,0.0,0
61,Guanosine triphosphate,C10H16N5O14P3,[M-H]-,15.0,17.0,15,0.2,521.9834,521.9832,-0.4,S07377,16.99,16.91,16.99,0.08,10000.0,10000.0,10130.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.3739009663000528,2.6745049896381046,10043.333333333334,10000.0,0.0062381722112198786,1.0043333333333333,10000.0,10021.666666666668,0.0,1
62,Homocysteine,C4H9NO2S,[M-H]-,7.3,9.3,15,0.2,134.0281,134.0299,13.2,S07377,7.31,7.26,7.5,0.24,13124.5,13124.5,27179.0,13124.5,13124.5,13124.5,1432,0,1800,1538,0,1479,0.373900966300059,2.67450498963806,17809.333333333332,13124.5,0.4403710503247164,1.3569532807599018,13124.5,15466.916666666666,0.0,1
63,Hypotaurine,C2H7NO2S,[M+H]+,10.0,12.0,15,0.2,110.027,110.027,-0.2,S07376,11.44,11.28,11.45,0.18,4562842.0,5235412.0,5045578.0,2888307.0,2761540.0,2869088.0,29289,0,43388,0,44811,0,0.0004950988013214193,2019.7988711162272,4947944.0,2839645.0,0.8011185906484201,1.74245160926806,68744.0,3893794.5,13704.0,6
64,Hypoxanthine,C5H4N4O,[M+H]+,5.8,7.8,15,0.2,137.0458,137.0455,-2.1,S07377,7.77,7.54,7.77,0.23,60693.0,92613.0,178694.0,143645.0,110414.0,127260.0,3061,2247,2518,2414,2860,1864,0.6759350969453937,1.4794319817377175,110666.66666666667,127106.33333333333,-0.1998151765174135,0.8706620965648185,17482.0,118886.5,0.0,6
65,Inosine,C10H12N4O5,[M+H]+,6.4,8.4,15,0.2,269.08799999999997,269.0862,-6.9,S07370,7.84,7.64,7.97,0.33,55767.0,67328.0,88039.0,71759.0,90389.0,82399.0,0,0,0,0,0,0,0.36359868289152314,2.7502849901641206,70378.0,81515.66666666667,-0.2119528443694437,0.8633677779731503,10000.0,75946.83333333334,0.0,6
66,Inosinic acid,C10H13N4O8P,[M+H]+,11.4,13.4,15,0.2,349.0544,349.0515,-8.3,S07370,12.62,12.59,12.8,0.21,10999.0,10999.0,10999.0,10999.0,10999.0,10999.0,0,0,1998,0,0,0,NA,NA,10999.0,10999.0,0.0,1.0,10999.0,10999.0,0.0,0
67,L-Acetylcarnitine,C9H17NO4,[M+H]+,6.3,8.3,15,0.2,204.123,204.1224,-3.1,S07377,7.79,7.56,7.92,0.36,4813509.0,5125000.0,5831314.0,3091527.0,3467962.0,3442797.0,16322,15263,10794,10643,11906,10072,0.004075154417982072,245.38947422148934,5256607.666666667,3334095.3333333335,0.65683670505935,1.5766218842372635,47500.0,4295351.5,1662.0,6
68,L-Alanine,C3H7NO2,[M+H]+,10.6,11.2,15,0.2,90.055,90.0552,2.7,S07372,11.19,11.09,11.2,0.11,171055392.0,160021264.0,175485456.0,235641888.0,236370800.0,247588784.0,12573427,165430,20016368,252924,8759799,239814,0.0002931777230277993,3410.900356522584,168854037.33333334,239867157.33333334,-0.5064589621338706,0.7039481320015977,21013881.0,204360597.33333334,990206.0,6
69,L-Arginine,C6H14N4O2,[M+H]+,18.5,21.0,15,0.2,175.11900000000003,175.1185,-2.6,S07377,20.39,20.32,20.55,0.23,21118804.0,22068992.0,27352140.0,19686454.0,23864068.0,26398398.0,10102375,2756652,9274954,2318849,10815290,2617241,0.9464207564201794,1.0566124984224599,23513312.0,23316306.666666668,0.012138484241495726,1.008449251253629,18952680.5,23414809.333333336,25.0,6
70,L-Asparagine,C4H8N2O3,[M+H]+,10.3,12.3,15,0.2,133.0608,133.0605,-2.0,S07372,11.68,11.55,11.73,0.19,341851.0,409216.0,430587.0,637489.0,663451.0,560943.0,46191,3074,113624,6053,27711,5342,0.00511536957662819,195.48929652491555,393884.6666666667,620627.6666666666,-0.6559547554059368,0.6346553462274483,110997.5,507256.1666666666,156.0,6
