Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S09190	S09191	S09192	S09193	S09194	S09195	S09196	S09197	S09198	SQ530_Blank_0	SQ530_Blank_1	SQ530_Blank_2	SQ530_Blank_3	SQ530_Blank_4	SQ530_Blank_5	SQ530_ISTD_0	SQ530_ISTD_1	SQ530_ISTD_2
D-Ribose 5-phosphate	45         D-Ribose 5-phosphate	C5H11O8P	[M-H]-	12.4	13.8	15.0	0.2	229.0119	229.0105	-6.0	S09195	12.93	12.88	13.1	0.22	17	31148	45577	40980	93005	69127	233703	51027	42972	38067	5029	0	10091	1865	6538	1893	1648	2479	2407
D-Sedoheptulose 7-phosphate	46         D-Sedoheptulose 7-phosphate	C7H15O10P	[M-H]-	12.2	14.2	15.0	0.2	289.033	289.0317	-4.5	S09196	13.41	13.37	13.5	0.13	13	19148	20329	24697	30448	17479	39671	42906	27184	33467	1791	0	6223	0	6499	0	0	2196	0
dTDP	47         dTDP	C10H16N2O11P2	[M-H]-	11.0	13.0	15.0	0.2	401.0157	401.0139	-4.4	S09193	12.22	12.16	12.42	0.26	4	1383	1932	0	2924	0	0	0	0	0	0	0	0	0	2229	0	0	0	0
FAD	48         FAD	C27H33N9O15P2	[M+H]+	7.6	9.6	15.0	0.2	786.1644	786.1673	3.7	S09193	8.15	8.01	8.34	0.34	3	0	0	0	31893	0	0	9579	0	0	0	0	0	0	3621	0	0	0	0
Folic acid	49         Folic acid	C19H19N7O6	[M+H]+	13.0	16.0	15.0	0.2	442.147	442.1466	-0.8	S09196	14.14	14.14	14.26	0.11	12	59337	110743	121368	114533	105036	150367	159157	88539	108510	7167	0	12408	0	7891	0	0	0	0
Fructose 1,6-bisphosphate	50         Fructose 1,6-bisphosphate	C6H14O12P2	[M-H]-	14.1	16.1	15.0	0.2	338.9888	338.9922	10.1	S09196	15.33	15.33	15.53	0.2	3	0	0	0	0	1245	0	2576	0	0	0	0	0	0	0	1388	0	0	0
Fructose 6-phosphate	51         Fructose 6-phosphate	C6H13O9P	[M-H]-	12.6	13.5	15.0	0.2	259.0224	259.0223	-0.6	S09195	13.14	13.03	13.38	0.35	18	81197	124112	104465	178023	134126	264854	157833	81297	122811	11354	2911	34158	7646	20523	2969	5913	9976	8225
Fumaric acid	52         Fumaric acid	C4H4O4	[M-H]-	12.2	14.2	15.0	0.2	115.0037	115.0025	-10.3	S09196	13.34	13.28	13.4	0.13	18	1289357	1586562	1901462	2440619	1717420	4549376	9587739	7340844	8993491	29639	9136	110034	18349	48682	14708	13690	26585	17886
Glucose 6-phosphate	53         Glucose 6-phosphate	C6H13O9P	[M-H]-	13.6	14.4	15.0	0.2	259.0224	259.0223	-0.6	S09195	14.05	13.95	14.08	0.14	18	293965	492685	452541	576833	441372	874516	571215	349059	734045	37427	7538	92443	12545	57721	9138	15293	26753	22251
Glutathione	54         Glutathione	C10H17N3O6S	[M+H]+	10.0	13.0	15.0	0.2	308.0911	308.0894	-5.5	S09197	11.47	11.47	11.7	0.24	11	0	0	0	0	33296	0	0	967161	73463	0	1854	4870	2690	5446	6821	1915	5362	3754
Glycerol 3-phosphate	55         Glycerol 3-phosphate	C3H9O6P	[M-H]-	11.5	13.0	15.0	0.2	171.0064	171.0057	-4.1	S09195	12.18	12.08	12.38	0.3	18	660813	1028120	964804	1479194	1101668	2395761	1264464	724946	1163591	79412	24734	186908	28446	118633	25233	27310	45794	36817
