Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2
125         Pyruvic acid,2084298,1406028,1865767,1558725,0,102764,0,0
126         Ribose 1-phosphate,22781,0,19398,14133,13596,13635,14145,14935
127         Saccharopine,0,0,0,0,0,0,0,0
128         S-Adenosylhomocysteine,22168,0,49377,0,0,0,0,0
129         S-Adenosylmethionine,0,0,0,0,0,0,0,0
130         Sarcosine,40761436,23826920,25335330,29763100,0,2936223,3819039,5849022
131         Succinic acid,144303488,104375776,136116240,113552992,12611625,13617641,16074086,16671117
132         Taurine,22399134,20124404,22640108,21066412,171870,446093,473552,555757
133         Thymidine,445664,313842,467107,331035,29649,0,29420,0
134         Uracil,2111094,1725519,1984381,1739811,0,0,0,0
135         Ureidopropionic acid,456123,413218,484623,409179,20754,45920,44346,47282
136         Ureidosuccinic acid,15347,0,0,0,0,0,0,0
137         Uric acid,1188947,699533,1129506,699692,33081,31610,44218,49757
138         Uridine,3645240,2733641,3964353,2834250,225850,256392,256456,251270
139         Uridine 5'-diphosphate,0,0,0,0,0,0,0,0
140         Uridine 5'-monophosphate,0,0,0,0,0,0,0,0
141         Uridine diphosphate glucose,0,0,0,0,0,0,0,0
142         Uridine diphosphate-N-acetylglucosamine,0,0,0,0,0,0,0,0
143         Uridine triphosphate,0,0,0,0,0,0,0,0
144         Valerylcarnitine,7049334,5331382,7304927,5415717,790998,728153,724193,775010
145         Xanthine,24536696,19434136,23638088,20083986,1451866,1738448,1811804,1915237
146         Xanthosine,167436,129599,149253,153204,27146,25053,20215,27205
147         Xanthylic acid,0,0,0,0,0,0,0,0
