Metabolite,RT Start (min),Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,SQ567_ISTD_0,SQ567_ISTD_1,SQ567_ISTD_2
114         Oxoglutaric acid,10.8,3599337,2448706,3435008,2718548,401668,337929,397283,605709,129384,9088,10505,5026,6639,2422,10174,5538,4428
115         Palmitic acid,1.6,44431656,40927460,53085688,46591184,61709932,46772312,46697152,64693796,7630286,9491051,7961940,7815324,3664500,7363538,9278942,9042121,6547816
116         Pantothenic acid,5.1,217017872,179061824,226230688,190448960,54919396,52222088,49545076,53638988,12954,6220,111972,10461,72133,5707,2529,1816,1557
117         Phenol,2.1,314194,248384,380860,284824,330777,228669,333309,421654,223335,228622,487018,500226,404368,470726,213812,470245,436591
118         Phosphocreatine,11.2,0,0,0,0,0,0,0,0,2553,0,0,0,0,0,0,0,0
119         Phosphoenolpyruvic acid,13.6,0,0,0,0,0,0,0,0,2243,0,0,0,0,0,0,0,0
120         Phosphoribosyl pyrophosphate,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121         Phosphorylcholine,10.0,623409,303110,408497,323429,135108,114234,78272,142535,12678,0,9086,1764,5824,1631,2550,2334,0
122         Phosphoserine,11.5,0,10387,0,0,0,0,0,0,3239,0,0,0,0,0,0,0,0
123         Pipecolic acid,7.5,30772066,23020156,28567666,27003710,1321740,1663556,1845967,1779897,200883,82973,83920,58138,67275,77957,85921,65270,53118
124         Propionylcarnitine,5.2,48614280,33452022,48595332,36821252,5013042,5021232,5259682,5529336,10540,6238,16887,2653,13093,6033,6192,5563,6032
125         Pyruvic acid,5.5,2084298,1406028,1865767,1558725,81742,102764,97147,98803,39372,27742,32096,25234,30817,25416,50506,28388,23686
126         Ribose 1-phosphate,11.0,22781,13156,19398,14133,13596,13635,14145,14935,2649,0,2285,0,1839,0,0,0,0
127         Saccharopine,11.0,3550,2191,2718,2315,0,1384,1180,0,0,0,0,0,0,0,0,0,0
128         S-Adenosylhomocysteine,8.6,22168,6950,49377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129         S-Adenosylmethionine,10.7,10995,6063,8056,7138,1669,2086,2899,2148,3479,1809,0,1341,0,0,0,0,0
130         Sarcosine,11.2,40761436,23826920,25335330,29763100,1209687,2936223,3819039,5849022,2940211,21957,149684,20816,61238,20096,38710,23139,18226
131         Succinic acid,11.3,144303488,104375776,136116240,113552992,12611625,13617641,16074086,16671117,548588,90399,711929,126602,319271,82404,30964,110084,91480
132         Taurine,10.2,22399134,20124404,22640108,21066412,171870,446093,473552,555757,14756,0,7074,1471,3138,1470,0,1942,0
133         Thymidine,3.5,445664,313842,467107,331035,29649,25423,29420,25030,4076,10788,3281,4744,6178,3070,3167,3083,3162
134         Uracil,5.4,2111094,1725519,1984381,1739811,31861,21314,27881,27428,10346,11539,5835,5852,5900,6252,9283,4013,5862
135         Ureidopropionic acid,10.4,456123,413218,484623,409179,20754,45920,44346,47282,3945,0,6056,1026,2195,1267,0,0,1046
136         Ureidosuccinic acid,12.8,15347,5262,7576,9341,2357,7389,6428,5217,2174,0,0,0,0,0,0,0,0
