,Skeleton_Metabolite,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,Control_Mean,Treatment_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
126,Saccharopine,127         Saccharopine,C11H20N2O6,[M-H]-,11.0,14.0,15.0,0.2,275.1249,275.1243,-2.0,S10228,12.43,12.29,12.44,0.14,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
127,S-Adenosylhomocysteine,128         S-Adenosylhomocysteine,C14H20N6O5S,[M-H]-,8.6,10.6,15.0,0.2,383.1143,383.119,12.2,S10230,9.33,9.24,9.54,0.3,22168.0,10000.0,49377.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.21449479333667293,4.6621178278690945,22886.25,10000.0,1.19448109113246,2.288625,10000.0,16443.125,0.0,2
128,S-Adenosylmethionine,129         S-Adenosylmethionine,C15H22N6O5S,[M+H]+,10.7,12.7,15.0,0.2,399.1445,399.1408,-9.3,S10228,12.27,12.14,12.34,0.2,13314.5,13314.5,13314.5,13314.5,13314.5,13314.5,13314.5,13314.5,3479,1809,0,1341,0,0,NA,NA,13314.5,13314.5,0.0,1.0,13314.5,13314.5,0.0,0
129,Sarcosine,130         Sarcosine,C3H7NO2,[M+H]+,11.2,12.0,15.0,0.2,90.055,90.0553,3.8,S10228,11.21,11.2,11.45,0.25,40761436.0,23826920.0,25335330.0,29763100.0,1617001.0,2936223.0,3819039.0,5849022.0,2940211,21957,149684,20816,61238,20096,0.0005314403433007725,1881.6787483407952,29921696.5,3555321.25,3.07314014626249,8.416031743966878,1617001.0,16738508.875,265076.0,7
130,Succinic acid,131         Succinic acid,C4H6O4,[M-H]-,11.3,13.3,15.0,0.2,117.0193,117.0181,-10.5,S10228,12.15,11.92,12.18,0.26,144303488.0,104375776.0,136116240.0,113552992.0,12611625.0,13617641.0,16074086.0,16671117.0,548588,90399,711929,126602,319271,82404,2.3866254792199178e-05,41900.16442491244,124587124.0,14743617.25,3.078992545692172,8.450241340875829,949596.5,69665370.625,24666174.0,8
131,Taurine,132         Taurine,C2H7NO3S,[M-H]-,10.2,12.2,15.0,0.2,124.0074,124.0062,-9.6,S10230,11.22,10.99,11.3,0.31,22399134.0,20124404.0,22640108.0,21066412.0,171870.0,446093.0,473552.0,555757.0,14756,0,7074,1471,3138,1470,3.332820895621559e-08,30004612.648514483,21557514.5,411818.0,5.71004015059424,52.34718856388016,23954.5,10984666.25,17253144214.0,8
132,Thymidine,133         Thymidine,C10H14N2O5,[M-H]-,3.5,5.5,15.0,0.2,241.083,241.0824,-2.5,S10230,4.65,4.41,4.86,0.45,445664.0,313842.0,467107.0,331035.0,29649.0,26068.5,29420.0,26068.5,4076,10788,3281,4744,6178,3070,9.007644700003942e-05,11101.681219726199,389412.0,27801.5,3.8080627131693006,14.006870132906498,26068.5,208606.75,32438.0,6
133,Uracil,134         Uracil,C4H4N2O2,[M+H]+,5.4,7.4,15.0,0.2,113.0346,113.0347,1.3,S10228,5.76,5.52,6.0,0.48,2111094.0,1725519.0,1984381.0,1739811.0,32862.0,32862.0,32862.0,32862.0,10346,11539,5835,5852,5900,6252,1.1319398970980471e-06,883439.1318511687,1890201.25,32862.0,5.84597575014783,57.519361268334244,32862.0,961531.625,48860090.0,4
134,Ureidopropionic acid,135         Ureidopropionic acid,C4H8N2O3,[M-H]-,10.4,12.4,15.0,0.2,131.0462,131.0453,-7.0,S10230,11.45,11.25,11.55,0.3,456123.0,413218.0,484623.0,409179.0,20754.0,45920.0,44346.0,47282.0,3945,0,6056,1026,2195,1267,7.659965940813936e-07,1305488.8334056241,440785.75,39575.5,3.4773981015932947,11.13784412073126,17244.5,240180.625,3492306.0,8
135,Ureidosuccinic acid,136         Ureidosuccinic acid,C5H8N2O5,[M-H]-,12.8,14.8,15.0,0.2,175.03599999999997,175.0346,-8.3,S10228,13.54,13.33,13.75,0.42,15347.0,11087.0,11087.0,11087.0,11087.0,11087.0,11087.0,11087.0,2174,0,0,0,0,0,0.35591768374958205,2.8096384238766396,12152.0,11087.0,0.13232473142163323,1.0960584468296202,11087.0,11619.5,0.0,1
136,Uric acid,137         Uric acid,C5H4N4O3,[M+H]+,8.8,10.8,15.0,0.2,169.0356,169.0355,-0.7,S10228,9.81,9.74,10.02,0.28,1188947.0,699533.0,1129506.0,699692.0,33081.0,31610.0,44218.0,49757.0,0,0,0,0,0,0,0.0005476351609950654,1826.0332265426084,929419.5,39666.5,4.5503369030617105,23.430842146395573,10000.0,484543.0,20731.0,8
137,Uridine,138         Uridine,C9H12N2O6,[M-H]-,5.5,7.5,15.0,0.2,243.0623,243.0616,-2.7,S10230,6.73,6.5,6.86,0.37,3645240.0,2733641.0,3964353.0,2834250.0,225850.0,256392.0,256456.0,251270.0,14009,2303,1658,1692,1340,1265,5.5685529621967227e-05,17957.98669400664,3294371.0,247492.0,3.7345492382623853,13.311020154186801,21133.5,1770931.5,423322.0,8
138,Uridine 5'-diphosphate,139         Uridine 5'-diphosphate,C9H14N2O12P2,[M+H]+,12.4,14.4,15.0,0.2,405.0095,405.014,11.2,SQ567_Blank_2,13.71,13.71,13.71,0.0,10588.5,10588.5,10588.5,10588.5,10588.5,10588.5,10588.5,10588.5,0,0,1177,0,0,0,NA,NA,10588.5,10588.5,0.0,1.0,10588.5,10588.5,0.0,0
139,Uridine 5'-monophosphate,140         Uridine 5'-monophosphate,C9H13N2O9P,[M-H]-,11.2,13.2,15.0,0.2,323.0286,323.0275,-3.4,SQ567_Blank_0,12.28,12.28,12.28,0.0,14771.5,14771.5,14771.5,14771.5,14771.5,14771.5,14771.5,14771.5,9543,0,0,0,0,0,NA,NA,14771.5,14771.5,0.0,1.0,14771.5,14771.5,0.0,0
140,Uridine diphosphate glucose,141         Uridine diphosphate glucose,C15H24N2O17P2,[M-H]-,12.4,14.4,15.0,0.2,565.0478,565.0479,0.3,S10231,13.33,13.29,13.41,0.13,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
141,Uridine diphosphate-N-acetylglucosamine,142         Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,[M+H]+,11.2,13.2,15.0,0.2,608.0889,608.0875,-2.2,S10228,12.0,11.9,12.24,0.34,11501.5,11501.5,11501.5,11501.5,11501.5,11501.5,11501.5,11501.5,0,0,1291,1712,0,0,NA,NA,11501.5,11501.5,0.0,1.0,11501.5,11501.5,0.0,0
142,Uridine triphosphate,143         Uridine triphosphate,C9H15N2O15P3,[M-H]-,15.0,18.0,15.0,0.2,482.9613,482.9577,-7.4,SQ567_ISTD_0,15.78,15.68,15.78,0.1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
143,Valerylcarnitine,144         Valerylcarnitine,C12H23NO4,[M+H]+,3.6,5.7,15.0,0.2,246.17,246.1695,-2.0,S10230,5.06,4.93,5.19,0.26,7049334.0,5331382.0,7304927.0,5415717.0,790998.0,728153.0,724193.0,775010.0,5170,3164,3270,3275,2681,2520,4.288781933829154e-05,23316.643639821756,6275340.0,754588.5,3.055931608256703,8.316241236117433,20040.0,3514964.25,681576.0,8
144,Xanthine,145         Xanthine,C5H4N4O2,[M-H]-,7.5,9.4,15.0,0.2,151.0261,151.025,-7.6,S10228,8.4,8.15,8.53,0.37,24536696.0,19434136.0,23638088.0,20083986.0,1451866.0,1738448.0,1811804.0,1915237.0,57127,2019,17785,2112,10425,1823,3.99475032133005e-06,250328.53609410327,21923226.5,1729338.75,3.6641677363957843,12.677230820161753,55645.5,11826282.625,37530384.0,8
145,Xanthosine,146         Xanthosine,C10H12N4O6,[M-H]-,6.7,8.7,15.0,0.2,283.0684,283.0675,-3.2,S10228,7.73,7.67,7.76,0.1,167436.0,129599.0,149253.0,153204.0,27146.0,25053.0,20215.0,27205.0,0,0,0,0,0,0,4.2807639660359274e-06,233603.16241075535,149873.0,24904.75,2.58924766746534,6.017848000883365,10000.0,87388.875,122850.0,8
146,Xanthylic acid,147         Xanthylic acid,C10H13N4O9P,[M-H]-,11.0,13.0,15.0,0.2,363.0347,363.0377,8.1,S10231,11.39,11.39,11.39,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
