,Skeleton_Metabolite,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,Control_Mean,Treatment_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
29,cis-Aconitic acid,30         cis-Aconitic acid,C6H6O6,[M-H]-,14.1,16.1,15.0,0.2,173.0092,173.0082,-5.6,S10228,14.82,14.6,14.9,0.3,8266403.0,5843390.0,7319314.0,6023386.0,2214933.0,2909636.0,2984496.0,3077220.0,1781074,59611,1081058,63647,509353,37625,0.0005257948681538318,1901.8823890601952,6863123.25,2796571.25,1.2952061760206859,2.4541206486335723,1776184.0,4829847.25,22543.0,8
30,Citric acid,31         Citric acid,C6H8O7,[M-H]-,14.2,16.2,15.0,0.2,191.0197,191.0189,-4.3,S10228,15.02,14.78,15.11,0.34,44853892.0,25693374.0,32286028.0,32420610.0,25192487.0,25192487.0,25192487.0,25192487.0,27977736,3040563,10668586,1899542,4856738,1921809,0.07462206516774054,13.40086203393235,33813476.0,25192487.0,0.42460477999976837,1.3422047612845847,25192487.0,29502981.5,531.0,4
31,Citrulline,32         Citrulline,C6H13N3O3,[M+H]+,10.9,12.9,15.0,0.2,176.10299999999995,176.1028,-1.0,S10230,12.04,11.8,12.11,0.3,120519392.0,98183840.0,124790936.0,104895568.0,11428374.0,16482531.0,19665100.0,22147946.0,9841200,9916,1563582,15083,732080,13732,7.977356835766464e-06,125354.80367588697,112097434.0,17430987.75,2.685027024959641,6.430928390733336,6097796.5,64764210.875,52209524.0,8
32,Creatine,33         Creatine,C4H9N3O2,[M+H]+,10.0,11.5,15.0,0.2,132.0768,132.0765,-1.9,S10230,10.85,10.61,10.91,0.3,1286333824.0,1140518912.0,1351840256.0,1189758336.0,122325576.0,212094544.0,238311568.0,242781488.0,133285720,39384,18313884,182415,7825956,132645,1.4482911700720354e-06,690468.8923500526,1242112832.0,203878294.0,2.6070161407259196,6.092423119844234,79900002.0,722995563.0,3041373844.0,8
33,Creatinine,34         Creatinine,C4H7N3O,[M+H]+,5.2,7.2,15.0,0.2,114.0662,114.0662,0.1,S10230,6.63,6.4,6.63,0.23,858776192.0,814126656.0,862679296.0,772459712.0,48178416.0,50510224.0,55852576.0,57232060.0,4853630,2971006,2492072,1855980,1485590,1509839,2.9504838351954686e-08,33892746.2699944,827010464.0,52943319.0,3.9653850387684666,15.620676595662617,7594058.5,439976891.5,232935922228.0,8
34,Cyclic AMP,35         Cyclic AMP,C10H12N5O6P,[M-H]-,5.8,7.8,15.0,0.2,328.0452,328.0458,1.7,S10230,6.73,6.66,6.76,0.1,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,2744,0,0,0,0,0,NA,NA,11372.0,11372.0,0.0,1.0,11372.0,11372.0,0.0,0
35,Cytidine,36         Cytidine,C9H13N3O5,[M+H]+,7.1,9.1,15.0,0.2,244.0928,244.0921,-2.9,S10230,8.39,8.14,8.45,0.31,12580692.0,10000084.0,13294613.0,10600248.0,1174130.0,1263474.0,1331220.0,1528004.0,91817,11396,18998,6884,16763,9139,1.2436143034446604e-05,80410.78308846413,11618909.25,1324207.0,3.1332740720776675,8.774239412720217,87498.5,6471558.125,4565966.0,8
36,Cytidine monophosphate,37         Cytidine monophosphate,C9H14N3O8P,[M+H]+,11.8,13.8,15.0,0.2,324.0591,324.0567,-7.5,SQ567_Blank_0,12.03,12.03,12.03,0.0,12344.5,12344.5,12344.5,12344.5,12344.5,12344.5,12344.5,12344.5,4689,0,0,0,0,0,NA,NA,12344.5,12344.5,0.0,1.0,12344.5,12344.5,0.0,0
37,Cytidine triphosphate,38         Cytidine triphosphate,C9H16N3O14P3,[M-H]-,15.0,20.0,15.0,0.2,481.9772,481.9842,14.4,S10229,15.63,15.47,15.82,0.35,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
38,Cytosine,39         Cytosine,C4H5N3O,[M+H]+,9.0,11.0,15.0,0.2,112.0505,112.0507,1.4,SQ567_Blank_0,10.09,9.84,10.33,0.49,140554.0,140554.0,140554.0,140554.0,140554.0,140554.0,140554.0,140554.0,149302,30377,19983,23929,18460,19057,NA,NA,140554.0,140554.0,0.0,1.0,140554.0,140554.0,0.0,0
