,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,Skeleton_Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Control_vs_Treatment_ttest_pval,Control_vs_Treatment_Log2FoldChange,Control_vs_Treatment_impact_score,Treatment_vs_Control_ttest_pval,Treatment_vs_Control_Log2FoldChange,Treatment_vs_Control_impact_score
35,36         Cytidine,C9H13N3O5,[M+H]+,244.0928,-2.9,8.39,0.31,8,Cytidine,12580692,10000084,13294613,10600248,1174130,1263474,1331220,1528004,1.2436143034446604e-05,3.1332740720776675,4565966.0,1.2436143034446604e-05,-3.1332740720776675,4565966.0
36,37         Cytidine monophosphate,C9H14N3O8P,[M+H]+,324.0591,-7.5,12.03,0.0,0,Cytidine monophosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
37,38         Cytidine triphosphate,C9H16N3O14P3,[M-H]-,481.9772,14.4,15.63,0.35,0,Cytidine triphosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
38,39         Cytosine,C4H5N3O,[M+H]+,112.0505,1.4,10.09,0.49,0,Cytosine,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
39,40         D-2-Hydroxyglutaric acid,C5H8O5,[M-H]-,147.0299,-8.2,12.15,0.26,8,D-2-Hydroxyglutaric acid,17652420,12300885,16597237,13254280,1980606,2013579,2352952,2464527,6.299657760563417e-05,2.7627754227032373,924059.0,6.299657760563417e-05,-2.7627754227032373,924059.0
40,41         D-Glucose,C6H12O6,[M-H]-,179.0561,-5.1,9.84,0.37,8,D-Glucose,24436516,18395368,25898896,19111416,1928242,2228942,2521775,2656109,4.643514975974194e-05,3.234181684555232,2461578.0,4.643514975974194e-05,-3.234181684555232,2461578.0
41,42         D-Glyceraldehyde 3-phosphate,C3H7O6P,[M-H]-,168.9908,-5.0,13.15,0.16,1,D-Glyceraldehyde 3-phosphate,-,-,-,-,-,-,-,12758,0.35591768374958205,-0.02454786245952065,0.0,0.35591768374958205,0.024547862459520717,0.0
42,43         Dihydrofolic acid,C19H21N7O6,[M+H]+,444.1626,11.2,13.47,0.0,0,Dihydrofolic acid,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
43,44         Dihydroxyacetone phosphate,C3H7O6P,[M-H]-,168.9908,-7.4,12.9,0.12,0,Dihydroxyacetone phosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
44,45         D-Ribose 5-phosphate,C5H11O8P,[M-H]-,229.0119,-4.3,12.58,0.17,0,D-Ribose 5-phosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
