,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T1,T2,T3,T4,T5,T6,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,Tom plus Dox_Mean,Tom minus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
37,Cytidine triphosphate,C9H16N3O14P3,[M-H]-,15.0,20.0,15,0.2,481.9772,481.9758,-3.0,S07377,16.01,16.01,16.26,0.25,19410.5,19410.5,19410.5,19410.5,19410.5,33863.0,0,0,6347,0,10475,1999,0.373900966300059,2.67450498963806,19410.5,24228.0,-0.31983803522493265,0.8011598150899786,19410.5,21819.25,0.0,1
38,Cytosine,C4H5N3O,[M+H]+,9.0,11.0,15,0.2,112.0505,112.0506,0.5,S07372,9.46,9.3,9.69,0.39,63704.0,63704.0,63704.0,63704.0,63704.0,63704.0,15031,20593,21890,12642,21568,15684,NA,NA,63704.0,63704.0,0.0,1.0,63704.0,63704.0,0.0,0
39,D-2-Hydroxyglutaric acid,C5H8O5,[M-H]-,11.6,13.6,15,0.2,147.0299,147.0287,-8.2,S07375,12.49,12.39,12.51,0.12,4289720.0,5644170.0,6074790.0,6797754.0,7049616.0,6786256.0,120866,31243,146370,26647,440326,31345,0.04731680471608137,21.13414052365489,5336226.666666667,6877875.333333333,-0.36614301705012225,0.7758539386145703,408398.5,6107051.0,166.0,6
40,D-Glucose,C6H12O6,[M-H]-,9.0,11.0,15,0.2,179.0561,179.055,-6.2,S07371,11.02,10.79,11.03,0.24,2071761.0,2206194.0,2758822.0,2527473.0,2747046.0,3183276.0,80552,14368,70116,13938,150197,13168,0.17208216058776826,5.811177617623897,2345592.3333333335,2819265.0,-0.26536679894995974,0.831987178691373,181169.5,2582428.666666667,18.0,6
41,D-Glyceraldehyde 3-phosphate,C3H7O6P,[M-H]-,13.0,14.0,15,0.2,168.9908,168.9898,-5.6,S07377,13.46,13.36,13.5,0.14,172724.5,172724.5,177175.0,172724.5,197708.0,234342.0,22965,5762,87834,30998,145307,32583,0.2019091016704571,4.9527237342283605,174208.0,201591.5,-0.21062393257236542,0.8641634195886235,172724.5,187899.75,1.0,3
42,Dihydrofolic acid,C19H21N7O6,[M+H]+,13.0,16.0,15,0.2,444.1626,444.162,-1.4,S07371,14.95,14.75,15.2,0.45,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
43,Dihydroxyacetone phosphate,C3H7O6P,[M-H]-,12.0,13.0,15,0.2,168.9908,168.9897,-6.2,S07377,12.56,12.49,12.56,0.07,630052.0,812032.0,1045853.0,788205.0,1093515.0,1155034.0,26406,2347,96241,9628,144349,14093,0.33067056944944245,3.0241578549460053,829312.3333333334,1012251.3333333334,-0.2875800903079192,0.8192751207374717,156532.0,920781.8333333334,3.0,6
44,D-Ribose 5-phosphate,C5H11O8P,[M-H]-,12.4,13.8,15,0.2,229.0119,229.0111,-3.4,S07377,12.88,12.72,12.95,0.23,84221.0,117989.0,124949.0,106542.0,142923.0,140781.0,8960,0,25078,6862,31708,7063,0.28947280406642234,3.4545559581152925,109053.0,130082.0,-0.25439188558338377,0.8383404314201811,49835.5,119567.5,0.0,6
45,D-Sedoheptulose 7-phosphate,C7H15O10P,[M-H]-,12.2,14.2,15,0.2,289.033,289.0322,-2.8,S07372,13.49,13.34,13.52,0.19,106189.0,126817.0,159427.0,110520.0,152318.0,145005.0,14699,2313,32436,8124,29695,8868,0.811411420575759,1.232420415392259,130811.0,135947.66666666666,-0.05556752662680107,0.9622158526687966,58067.5,133379.3333333333,0.0,6
46,dTDP,C10H16N2O11P2,[M-H]-,11.0,13.0,15,0.2,401.0157,401.0153,-0.9,S07372,12.03,11.91,12.27,0.36,14491.5,14491.5,14491.5,14491.5,14491.5,14491.5,0,0,3171,1890,2636,1286,NA,NA,14491.5,14491.5,0.0,1.0,14491.5,14491.5,0.0,0
47,FAD,C27H33N9O15P2,[M+H]+,7.6,9.6,15,0.2,786.1644,786.1618,-3.3,S07376,8.94,8.74,9.03,0.28,13975.0,11070.0,15154.0,15652.0,19222.0,19317.0,0,0,0,0,2140,0,0.052664101527645384,18.988266598929105,13399.666666666666,18063.666666666668,-0.4308936567584713,0.7418021442674982,11070.0,15731.666666666668,0.0,5
48,Folic acid,C19H19N7O6,[M+H]+,13.0,16.0,15,0.2,442.147,442.1427,-9.6,S07377,14.15,14.1,14.19,0.09,13351.5,13981.0,18250.0,15109.0,14017.0,19488.0,1468,0,0,0,5235,0,0.6794975000529502,1.4716757602817885,15194.166666666666,16204.666666666666,-0.09289179288565202,0.9376414201670301,13351.5,15699.416666666666,0.0,5
49,"Fructose 1,6-bisphosphate",C6H14O12P2,[M-H]-,14.1,16.1,15,0.2,338.9888,338.98800000000006,-2.3,S07377,15.88,15.65,16.09,0.44,79099.0,79099.0,79099.0,79099.0,79099.0,90998.0,9799,1243,42512,2408,71315,10921,0.3739009663000594,2.674504989638057,79099.0,83065.33333333333,-0.07058704941107884,0.9522504374067,79099.0,81082.16666666666,0.0,1
50,Fructose 6-phosphate,C6H13O9P,[M-H]-,12.6,13.5,15,0.2,259.0224,259.0219,-2.1,S07377,13.11,13.03,13.15,0.11,607085.0,810958.0,824157.0,646604.0,864267.0,960605.0,56547,14914,150921,31135,173843,35610,0.5474891748877768,1.8265201320281408,747400.0,823825.3333333334,-0.14045792727558973,0.907231144465898,241485.0,785612.6666666667,2.0,6
