,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,T1,T2,T3,T4,T5,T6,TomminusDox_vs_TomplusDox_ttest_pval,TomminusDox_vs_TomplusDox_Log2FoldChange,TomminusDox_vs_TomplusDox_impact_score,TomplusDox_vs_TomminusDox_ttest_pval,TomplusDox_vs_TomminusDox_Log2FoldChange,TomplusDox_vs_TomminusDox_impact_score
39,D-2-Hydroxyglutaric acid,C5H8O5,[M-H]-,147.0299,-8.2,12.49,0.12,6,4289720,5644170,6074790,6797754,7049616,6786256,0.04731680471608137,0.3661430170501221,166.0,0.04731680471608137,-0.3661430170501223,166.0
40,D-Glucose,C6H12O6,[M-H]-,179.0561,-6.2,11.02,0.24,6,2071761,2206194,2758822,2527473,2747046,3183276,0.17208216058776826,0.2653667989499597,18.0,0.17208216058776826,-0.2653667989499597,18.0
41,D-Glyceraldehyde 3-phosphate,C3H7O6P,[M-H]-,168.9908,-5.6,13.46,0.14,3,-,-,177175,-,197708,234342,0.2019091016704571,0.21062393257236528,1.0,0.2019091016704571,-0.21062393257236545,1.0
42,Dihydrofolic acid,C19H21N7O6,[M+H]+,444.1626,-1.4,14.95,0.45,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
43,Dihydroxyacetone phosphate,C3H7O6P,[M-H]-,168.9908,-6.2,12.56,0.07,6,630052,812032,1045853,788205,1093515,1155034,0.33067056944944245,0.2875800903079191,3.0,0.33067056944944245,-0.2875800903079192,3.0
44,D-Ribose 5-phosphate,C5H11O8P,[M-H]-,229.0119,-3.4,12.88,0.23,6,84221,117989,124949,106542,142923,140781,0.28947280406642234,0.2543918855833837,0.0,0.28947280406642234,-0.25439188558338377,0.0
45,D-Sedoheptulose 7-phosphate,C7H15O10P,[M-H]-,289.033,-2.8,13.49,0.19,6,106189,126817,159427,110520,152318,145005,0.811411420575759,0.05556752662680108,0.0,0.811411420575759,-0.05556752662680107,0.0
46,dTDP,C10H16N2O11P2,[M-H]-,401.0157,-0.9,12.03,0.36,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
47,FAD,C27H33N9O15P2,[M+H]+,786.1644,-3.3,8.94,0.28,5,13975,-,15154,15652,19222,19317,0.05266410152764538,0.43089365675847147,0.0,0.05266410152764538,-0.4308936567584713,0.0
48,Folic acid,C19H19N7O6,[M+H]+,442.147,-9.6,14.15,0.09,5,-,13981,18250,15109,14017,19488,0.6794975000529502,0.092891792885652,0.0,0.6794975000529502,-0.09289179288565202,0.0
49,"Fructose 1,6-bisphosphate",C6H14O12P2,[M-H]-,338.9888,-2.3,15.88,0.44,1,-,-,-,-,-,90998,0.3739009663000594,0.07058704941107888,0.0,0.3739009663000594,-0.07058704941107884,0.0
50,Fructose 6-phosphate,C6H13O9P,[M-H]-,259.0224,-2.1,13.11,0.11,6,607085,810958,824157,646604,864267,960605,0.5474891748877768,0.14045792727558964,2.0,0.5474891748877768,-0.14045792727558973,2.0
51,Fumaric acid,C4H4O4,[M-H]-,115.0037,-12.0,13.29,0.1,6,4239730,5085760,5145508,4619272,4718476,5153442,0.9849478560943388,0.002011650707155725,5.0,0.9849478560943388,-0.002011650707155603,5.0
52,Glucose 6-phosphate,C6H13O9P,[M-H]-,259.0224,-1.7,14.02,0.12,6,748167,1056216,1231560,890410,1131005,1300567,0.632956673512014,0.1298995518202505,2.0,0.632956673512014,-0.1298995518202505,2.0
53,Glutathione,C10H17N3O6S,[M+H]+,308.0911,-4.2,11.49,0.14,6,27138308,16880522,2012267,1058536,15347832,12996323,0.5512704879297797,-0.6466606250899768,36.0,0.5512704879297797,0.6466606250899769,36.0
54,Glycerol 3-phosphate,C3H9O6P,[M-H]-,171.0064,-6.4,12.16,0.12,6,1957600,2681632,3556278,2651829,3835649,3659324,0.33305353452411685,0.3081194652614664,11.0,0.33305353452411685,-0.3081194652614664,11.0
